"Outcome_M12","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_8","Quan_9","Quan_27","Cat_467_0","Cat_467_1","Cat_469_0","Cat_469_2","Cat_470_0","Cat_470_1","Cat_494_0","Cat_494_1","Cat_501_0","Cat_513_0","Cat_501_2","Cat_513_2"
2000,8300,112,1995334,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0
3000,8500,63,2053329,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
2000,6900,44,373675,6,1,6,6,0,1,0,1,0,1,0,1,0,1,1,0,0
500,7100,65,18386,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0
500,4600,10,88573,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,5600,46,32724,6,2,6,6,0,1,0,1,0,1,0,1,0,1,1,0,0
500,8200,33,0,3,1,3,3,0,1,0,1,0,1,0,1,0,1,1,0,0
500,6200,38,23149,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,5300,6,1275,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,3900,22,396868,9,2,9,9,0,1,0,1,0,1,0,1,0,1,1,0,0
500,7300,82,1566700,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,5700,36,176114,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
2000,4200,36,561128,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
5000,8000,91,883301,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
500,8500,122,1178524,124,27,124,124,0,0,1,0,1,1,0,0,1,1,1,0,0
500,4300,22,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
500,7400,40,49009,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
2000,6800,69,503559,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,5500,10,1275,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
2000,7700,103,90686,31,8,31,31,0,1,0,1,0,1,0,1,0,1,1,0,0
500,5400,23,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
2000,8900,142,1394197,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0
500,5200,21,308925,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,6400,35,204611,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,6900,71,17619,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
2000,8200,107,689611,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0
500,6100,54,365492,26,5,26,26,0,1,0,1,0,1,0,1,0,1,1,0,0
3000,5600,91,761,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,5300,5,72774,2,1,2,2,0,1,0,1,0,1,0,1,0,1,1,0,0
500,7500,78,23013,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
8000,9300,120,1808023,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0
500,3800,57,0,36,7,36,36,0,1,0,1,0,1,0,1,0,1,1,0,0
500,7100,21,65693,69,17,69,69,0,1,0,1,0,1,0,1,0,1,1,0,0
2000,5900,69,641442,17,2,17,17,0,0,1,1,0,1,0,1,0,1,1,0,0
500,7900,32,58648,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,8000,74,682260,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
2000,7900,109,669770,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0
500,6800,30,2727,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,5800,61,575483,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
3000,8800,100,561962,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
500,8100,60,412632,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,8500,88,643979,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
500,7600,40,1951543,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,8100,127,29197,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
500,5500,53,33,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0
2000,7700,88,385016,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
500,4900,47,445190,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
2000,7900,101,1416697,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
500,9200,124,752566,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0
500,7300,92,94900,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,5700,31,67012,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,6900,30,1183119,53,4,53,53,0,1,0,1,0,1,0,0,1,1,1,0,0
500,6500,13,109982,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,6800,95,38152,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,5800,30,195081,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,6700,68,694809,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0
500,8000,85,233416,57,26,57,57,0,0,1,1,0,1,0,1,0,1,1,0,0
500,7100,83,477063,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,6600,97,405694,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0
500,8800,62,28203,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
2000,7400,116,850888,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0
500,9100,88,262738,13,3,13,13,0,1,0,1,0,1,0,1,0,1,1,0,0
500,6000,25,366857,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
500,6500,18,642619,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7600,47,300522,22,13,22,22,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,5400,7,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,5600,28,29,4,1,4,4,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,7900,37,0,5,0,5,5,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,4700,92,90054,23,14,23,23,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7300,57,469247,16,6,16,16,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,5000,52,14073,11,3,11,11,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8000,44,985658,69,31,69,69,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,6400,39,1759054,187,14,187,187,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,6000,31,53952,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7000,76,7696,33,3,33,33,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,6900,87,16594,6,2,6,6,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7300,63,97852,39,12,39,39,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,4600,6,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,0,2,235853,5,2,5,5,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8700,132,862604,126,63,126,126,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,8000,87,5758,18,7,18,18,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,8200,49,1602,7,5,7,7,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,6300,65,47075,4,2,4,4,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,6300,60,127967,17,7,17,17,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8700,84,28006,15,3,15,15,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,6100,53,18465,17,8,17,17,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,6300,40,53952,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,9400,102,1139542,106,43,106,106,0,0,1,1,0,1,0,0,1,1,1,0,0
