"Outcome_M9","Quan_2","Quan_3","Quan_4","Quan_5","Quan_7","Quan_8","Quan_9","Quan_10","Quan_13","Quan_14","Quan_18","Quant_24","Quant_25","Quan_27","Cat_469_0","Cat_469_2","Cat_470_0","Cat_470_1","Cat_494_0","Cat_494_1","Cat_349_0","Cat_349_2","Cat_4_1","Cat_4_5","Cat_4_6","Cat_4_7","Cat_4_8","Cat_4_11","Cat_4_12","Cat_4_18","Cat_4_19","Cat_4_20","Cat_4_30","Cat_4_32","Cat_4_37","Cat_4_39","Cat_4_40","Cat_4_46","Cat_4_48","Cat_4_50","Cat_4_51","Cat_4_52","Cat_4_66","Cat_4_69","Cat_4_87","Cat_4_96","Cat_4_123","Cat_4_128","Cat_4_139","Cat_4_156","Cat_4_174","Cat_4_176","Cat_4_193","Cat_4_199","Cat_4_203","Cat_4_206","Cat_4_212","Cat_4_218","Cat_4_225","Cat_4_243","Cat_4_244","Cat_4_264","Cat_4_278","Cat_4_291","Cat_4_305","Cat_4_359","Cat_4_371","Cat_4_380","Cat_4_403","Cat_4_413","Cat_4_432","Cat_4_443","Cat_4_444","Cat_4_495","Cat_4_497","Cat_4_536","Cat_4_543","Cat_4_551","Cat_4_565","Cat_4_566","Cat_4_571","Cat_4_582","Cat_4_632","Cat_4_644","Cat_4_657","Cat_4_675","Cat_4_680","Cat_4_763","Cat_4_833","Cat_4_854","Cat_4_898","Cat_4_1010","Cat_4_1044","Cat_359_0","Cat_359_2","Cat_388_0","Cat_388_2","Cat_4_2","Cat_4_3","Cat_4_4","Cat_4_10","Cat_4_15","Cat_4_16","Cat_4_17","Cat_4_22","Cat_4_33","Cat_4_38","Cat_4_41","Cat_4_42","Cat_4_43","Cat_4_44","Cat_4_47","Cat_4_49","Cat_4_53","Cat_4_55","Cat_4_56","Cat_4_57","Cat_4_67","Cat_4_70","Cat_4_79","Cat_4_80","Cat_4_81","Cat_4_85","Cat_4_86","Cat_4_89","Cat_4_108","Cat_4_126","Cat_4_127","Cat_4_129","Cat_4_135","Cat_4_140","Cat_4_150","Cat_4_151","Cat_4_152","Cat_4_153","Cat_4_155","Cat_4_158","Cat_4_169","Cat_4_172","Cat_4_175","Cat_4_179","Cat_4_181","Cat_4_182","Cat_4_183","Cat_4_184","Cat_4_185","Cat_4_186","Cat_4_187","Cat_4_188","Cat_4_189","Cat_4_190","Cat_4_195","Cat_4_196","Cat_4_197","Cat_4_198","Cat_4_200","Cat_4_201","Cat_4_202","Cat_4_204","Cat_4_205","Cat_4_207","Cat_4_210","Cat_4_213","Cat_4_214","Cat_4_216","Cat_4_217","Cat_4_221","Cat_4_222","Cat_4_224","Cat_4_226","Cat_4_228","Cat_4_236","Cat_4_240","Cat_4_245","Cat_4_248","Cat_4_249","Cat_4_250","Cat_4_251","Cat_4_252","Cat_4_254","Cat_4_256","Cat_4_259","Cat_4_260","Cat_4_262","Cat_4_263","Cat_4_265","Cat_4_266","Cat_4_267","Cat_4_270","Cat_4_274","Cat_4_277","Cat_4_279","Cat_4_281","Cat_4_282","Cat_4_284","Cat_4_285","Cat_4_286","Cat_4_287","Cat_4_295","Cat_4_300","Cat_4_302","Cat_4_303","Cat_4_308","Cat_4_311","Cat_4_312","Cat_4_320","Cat_4_323","Cat_4_329","Cat_4_331","Cat_4_337","Cat_4_340","Cat_4_342","Cat_4_346","Cat_4_348","Cat_4_349","Cat_4_350","Cat_4_352","Cat_4_355","Cat_4_356","Cat_4_360","Cat_4_361","Cat_4_362","Cat_4_364","Cat_4_366","Cat_4_367","Cat_4_369","Cat_4_370","Cat_4_372","Cat_4_374","Cat_4_375","Cat_4_377","Cat_4_378","Cat_4_379","Cat_4_382","Cat_4_384","Cat_4_385","Cat_4_386","Cat_4_387","Cat_4_388","Cat_4_389","Cat_4_391","Cat_4_393","Cat_4_395","Cat_4_397","Cat_4_398","Cat_4_399","Cat_4_402","Cat_4_404","Cat_4_406","Cat_4_407","Cat_4_408","Cat_4_409","Cat_4_410","Cat_4_411","Cat_4_412","Cat_4_414","Cat_4_420","Cat_4_422","Cat_4_425","Cat_4_428","Cat_4_429","Cat_4_431","Cat_4_433","Cat_4_437","Cat_4_441","Cat_4_445","Cat_4_446","Cat_4_447","Cat_4_448","Cat_4_450","Cat_4_451","Cat_4_453","Cat_4_454","Cat_4_455","Cat_4_456","Cat_4_460","Cat_4_478","Cat_4_481","Cat_4_486","Cat_4_490","Cat_4_492","Cat_4_496","Cat_4_501","Cat_4_541","Cat_4_546","Cat_4_549","Cat_4_550","Cat_4_559","Cat_4_562","Cat_4_563","Cat_4_564","Cat_4_567","Cat_4_570","Cat_4_572","Cat_4_583","Cat_4_585","Cat_4_586","Cat_4_587","Cat_4_589","Cat_4_597","Cat_4_618","Cat_4_621","Cat_4_631","Cat_4_635","Cat_4_637","Cat_4_641","Cat_4_642","Cat_4_643","Cat_4_646","Cat_4_655","Cat_4_660","Cat_4_661","Cat_4_664","Cat_4_671","Cat_4_672","Cat_4_676","Cat_4_677","Cat_4_681","Cat_4_687","Cat_4_701","Cat_4_708","Cat_4_714","Cat_4_715","Cat_4_718","Cat_4_725","Cat_4_729","Cat_4_733","Cat_4_739","Cat_4_754","Cat_4_757","Cat_4_760","Cat_4_764","Cat_4_841","Cat_4_860","Cat_4_863","Cat_4_864","Cat_4_890","Cat_4_891","Cat_4_895","Cat_4_900","Cat_4_901","Cat_4_909","Cat_4_926","Cat_4_965","Cat_4_981","Cat_4_992","Cat_4_1054","Cat_4_1058","Cat_4_1072","Cat_4_1073","Cat_4_1075","Cat_4_1081","Cat_4_1089","Cat_4_1116","Cat_4_1117","Cat_4_1118","Cat_4_1122","Cat_4_1125","Cat_4_1126","Cat_4_1127","Cat_4_1131","Cat_4_1134","Cat_4_1145","Cat_4_1146","Cat_4_1152","Cat_4_1166","Cat_4_1168","Cat_4_1179","Cat_4_1193","Cat_4_1214","Cat_4_1229","Cat_4_1234","Cat_4_1262","Cat_4_1263","Cat_4_1350","Cat_4_1354","Cat_4_1362","Cat_4_1388"
2000,8300,112,1995334,0,0,0,0,0,0,0,0,16,16,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,8500,63,2053329,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,6900,44,373675,6,4,6,6,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,7100,65,18386,0,0,0,0,0,0,0,0,8,8,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,4600,10,88573,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5600,46,32724,6,2,6,6,2,2,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,8200,33,0,3,1,3,3,2,2,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,6200,38,23149,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5300,6,1275,0,0,0,0,0,0,0,0,64,64,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,3900,22,396868,9,3,9,9,6,6,6,0,6,6,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
