"","Outcome_M1","Outcome_M2","Outcome_M3","Outcome_M4","Outcome_M5","Outcome_M6","Outcome_M7","Outcome_M8","Outcome_M9","Outcome_M10","Outcome_M11","Outcome_M12","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_8","Quan_9","Cat_467","Cat_469","Cat_470","Cat_494","Cat_501","Quan_27","Cat_513","Quan_10","Quan_11","Quan_13","Quan_14","Quan_16","Cat_110","Cat_349","Cat_403","Cat_498","Quan_7","Cat_220","Cat_4","Quan_18","Cat_359","Cat_388","Quant_24","Quant_25","Date_1","Cat_2","Cat_3","Cat_15","Cat_139","Cat_245","Cat_392","Cat_484","Cat_162","Cat_210","Cat_216","Cat_400","Cat_466","Day_Of_Year_1","Cat_6","Quan_17","Cat_404","Quan_28"
"1",10000,13000,26000,3000,3000,2000,500,500,2000,2000,2000,2000,8300,112,1995334,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,657,0,0,0,16,16,2856,5,387,2,0,0,2,0,0,0,0,1,0,116.625,37,2,0,0
"2",16000,18000,34000,8000,8000,5000,3000,2000,3000,3000,3000,3000,8500,63,2053329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,123,0,0,0,0,0,2490,5,10,12,0,0,0,0,0,0,0,1,0,115.875,60,4,0,0
"3",3000,8000,2000,2000,2000,500,500,3000,3000,2000,2000,2000,6900,44,373675,6,1,6,6,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,4,0,380,0,0,0,0,0,2877,29,38,4,0,0,0,0,0,0,0,0,0,137.625,20,2,0,0
"4",2000,500,500,500,500,500,500,500,500,2000,500,500,7100,65,18386,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,449,0,0,0,8,8,2613,80,275,2,0,0,0,0,0,0,0,0,0,238.875,3,0,0,0
"5",2000,500,500,500,500,500,500,500,500,500,500,500,4600,10,88573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,551,0,0,0,0,0,2513,4,194,4,0,0,0,0,2,0,0,0,0,138.875,2,0,0,0
"6",2000,500,500,500,500,2000,3000,2000,500,500,500,500,5600,46,32724,6,2,6,6,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,2,0,625,0,0,0,0,0,3073,109,368,3,0,0,0,0,0,0,2,1,0,333.625,22,2,0,0
"7",3000,3000,2000,500,500,500,500,500,500,500,2000,500,8200,33,0,3,1,3,3,0,0,0,0,0,0,0,2,1,2,2,4,0,0,0,0,1,0,1359,0,0,0,0,0,3325,53,663,2,0,0,0,0,0,0,0,1,0,220.375,51,4,0,0
"8",2000,2000,2000,2000,500,500,2000,500,500,500,500,500,6200,38,23149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,66,0,0,0,0,0,2733,26,48,2,0,0,0,0,0,0,0,0,0,358.875,10,2,0,0
"9",2000,2000,3000,2000,2000,2000,2000,500,500,500,500,500,5300,6,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,64,64,2470,16,243,3,0,0,0,0,0,0,0,0,0,95.875,16,4,0,0
"10",2000,500,500,500,500,2000,500,500,500,500,500,500,3900,22,396868,9,2,9,9,0,0,0,0,0,0,0,6,2,6,6,0,2,0,0,0,3,0,1044,0,0,0,6,6,3213,197,555,2,0,0,0,0,0,0,0,0,0,108.375,37,3,0,0
