"Outcome_M11","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Quan_16","Cat_110","Cat_349","Cat_403","Cat_467","Cat_469","Cat_470","Cat_494","Cat_498","Cat_501"
2000,8300,112,1995334,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0
3000,8500,63,2053329,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0
2000,6900,44,373675,6,1,6,6,1,1,1,1,0,2,0,0,0,0,0,0,0,0
500,7100,65,18386,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
500,4600,10,88573,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
500,5600,46,32724,6,2,6,6,2,2,2,2,2,0,0,0,0,0,0,0,0,0
2000,8200,33,0,3,1,3,3,2,1,2,2,4,0,0,0,0,0,0,0,0,0
500,6200,38,23149,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
500,5300,6,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,3900,22,396868,9,2,9,9,6,2,6,6,0,2,0,0,0,0,0,0,0,0
500,7300,82,1566700,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
500,5700,36,176114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,4200,36,561128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,8000,91,883301,0,0,0,0,0,0,0,0,16,0,0,1,0,2,0,0,0,0
3000,8500,122,1178524,124,27,124,124,54,21,54,54,24,4,0,0,1,2,0,1,1,0
500,4300,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
500,7400,40,49009,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2000,6800,69,503559,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
500,5500,10,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,7700,103,90686,31,8,31,31,19,7,19,19,0,0,0,0,0,0,0,0,0,0
500,5400,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,8900,142,1394197,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0
500,5200,21,308925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,6400,35,204611,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
500,6900,71,17619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,8200,107,689611,0,0,0,0,0,0,0,0,4,2,0,1,0,2,0,1,0,0
500,6100,54,365492,26,5,26,26,9,4,9,9,8,0,0,0,0,0,0,0,0,0
2000,5600,91,761,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0
500,5300,5,72774,2,1,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0
500,7500,78,23013,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
10000,9300,120,1808023,0,0,0,0,0,0,0,0,18,0,0,0,1,2,1,1,0,0
500,3800,57,0,36,7,36,36,9,3,9,9,0,2,0,0,0,0,0,0,0,0
500,7100,21,65693,69,17,69,69,55,13,55,55,2,0,0,0,0,0,0,0,0,0
500,5900,69,641442,17,2,17,17,10,2,10,10,16,0,0,0,1,0,0,0,0,0
500,7900,32,58648,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
500,8000,74,682260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,7900,109,669770,0,0,0,0,0,0,0,0,4,2,0,0,1,2,0,1,1,0
500,6800,30,2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,5800,61,575483,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2000,8800,100,561962,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0
2000,8100,60,412632,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
500,8500,88,643979,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0
500,7600,40,1951543,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2000,8100,127,29197,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0
500,5500,53,33,1,0,1,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0
2000,7700,88,385016,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
500,4900,47,445190,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2000,7900,101,1416697,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0
2000,9200,124,752566,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,0
500,7300,92,94900,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0
500,5700,31,67012,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
500,6900,30,1183119,53,4,53,53,13,1,13,13,0,0,0,0,0,0,0,1,0,0
500,6500,13,109982,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
500,6800,95,38152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5800,30,195081,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
500,6700,68,694809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
500,8000,85,233416,57,26,57,57,41,22,41,41,0,0,0,0,1,0,0,0,0,0
500,7100,83,477063,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
2000,6600,97,405694,0,0,0,0,0,0,0,0,18,3,0,0,1,0,0,1,1,0
500,8800,62,28203,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
2000,7400,116,850888,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0
2000,9100,88,262738,13,3,13,13,7,2,7,7,8,0,0,0,0,0,0,0,0,0
500,6000,25,366857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,6500,18,642619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,7600,47,300522,22,13,22,22,17,10,17,17,16,3,0,0,1,0,0,1,1,0
NA,5400,7,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
NA,5600,28,29,4,1,4,4,4,1,4,4,8,0,0,0,1,0,0,1,0,0
NA,7900,37,0,5,0,5,5,3,0,3,3,8,0,0,0,0,0,0,0,0,0
NA,4700,92,90054,23,14,23,23,7,3,7,7,12,2,0,0,0,0,0,0,0,0
NA,7300,57,469247,16,6,16,16,14,6,14,14,12,0,0,0,1,0,0,0,0,0
NA,5000,52,14073,11,3,11,11,9,3,9,9,0,0,0,0,0,0,0,0,0,0
NA,8000,44,985658,69,31,69,69,46,23,46,46,8,0,0,0,1,0,0,1,0,0
3000,6400,39,1759054,187,14,187,187,39,10,39,39,0,0,0,0,1,0,0,1,0,0
NA,6000,31,53952,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
NA,7000,76,7696,33,3,33,33,25,3,25,25,4,2,0,0,1,0,0,0,0,0
NA,6900,87,16594,6,2,6,6,6,2,6,6,4,4,0,0,0,0,0,0,0,0
NA,7300,63,97852,39,12,39,39,30,11,30,30,0,2,0,0,0,0,0,0,0,0
NA,4600,6,0,1,0,1,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0
NA,0,2,235853,5,2,5,5,5,2,5,5,0,0,0,0,0,0,0,0,0,0
NA,8700,132,862604,126,63,126,126,83,46,83,83,0,0,0,0,1,0,0,0,0,0
NA,8000,87,5758,18,7,18,18,12,3,12,12,8,0,0,0,1,0,0,1,0,0
NA,8200,49,1602,7,5,7,7,4,2,4,4,0,3,0,0,1,0,0,1,0,0
NA,6300,65,47075,4,2,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0
NA,6300,60,127967,17,7,17,17,13,7,13,13,12,0,0,0,0,0,0,0,0,0
NA,8700,84,28006,15,3,15,15,11,3,11,11,8,0,0,0,1,0,0,1,0,0
NA,6100,53,18465,17,8,17,17,12,6,12,12,0,0,0,0,0,0,0,0,0,0
NA,6300,40,53952,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
NA,9400,102,1139542,106,43,106,106,72,31,72,72,0,0,0,0,1,0,0,1,0,0
NA,8700,46,284933,11,4,11,11,9,3,9,9,0,2,0,0,1,0,0,1,1,0
NA,7100,96,6532,11,5,11,11,6,4,6,6,0,0,0,0,0,0,0,0,0,0
NA,7800,19,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
NA,8600,16,635758,11,5,11,11,6,3,6,6,0,0,0,0,0,0,0,0,0,0
NA,7000,76,309164,41,16,41,41,34,16,34,34,16,2,0,0,0,0,0,0,0,0
NA,5900,82,33837,13,3,13,13,8,3,8,8,10,0,0,0,0,0,0,0,0,0
NA,8100,79,23277,22,6,22,22,17,5,17,17,16,4,0,0,0,0,0,0,0,0
NA,7000,44,65248,4,2,4,4,4,2,4,4,2,2,0,0,0,0,0,0,0,0
NA,7700,36,241220,18,1,18,18,12,1,12,12,0,2,0,0,0,0,0,0,0,0
NA,9300,33,1729826,66,30,66,66,41,20,41,41,0,0,0,0,1,0,0,1,0,0
2000,9400,97,169441,64,29,64,64,47,27,47,47,2,2,0,0,0,0,0,0,0,0
NA,5700,78,167598,4,1,4,4,2,1,2,2,0,0,0,0,0,0,0,0,0,0
NA,8900,111,105605,38,22,38,38,24,13,24,24,0,0,0,0,1,0,0,1,0,0
NA,6300,23,39964,8,2,8,8,4,2,4,4,0,2,0,0,0,0,0,0,0,0
NA,4700,10,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,1,0,0
NA,7000,91,93023,25,9,25,25,15,5,15,15,4,2,0,0,1,0,0,0,0,0
NA,3500,3,135717,7,2,7,7,2,1,2,2,0,0,0,0,0,0,0,0,0,0
NA,7400,64,9596,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
NA,6300,13,0,4,0,4,4,2,0,2,2,2,0,0,0,0,0,0,0,0,0
NA,4900,25,23286,14,2,14,14,5,2,5,5,0,0,0,0,0,0,0,0,0,0
NA,8200,28,171279,102,27,102,102,37,21,37,37,2,0,0,0,0,0,0,0,0,0
NA,7800,53,0,4,2,4,4,3,1,3,3,8,0,0,0,1,0,0,1,0,0
NA,9500,105,1729826,62,28,62,62,41,20,41,41,0,0,0,0,1,0,0,1,0,0
NA,8000,32,346384,14,1,14,14,11,1,11,11,0,2,0,0,0,0,0,0,0,0
NA,7400,80,132449,33,17,33,33,19,10,19,19,4,4,0,0,1,0,0,1,0,0
NA,8300,3,275,13,8,13,13,13,8,13,13,6,0,0,0,1,0,0,1,1,0
NA,7200,76,44828,19,10,19,19,15,8,15,15,16,0,0,0,1,0,0,1,0,0
NA,7700,22,621939,39,7,39,39,23,7,23,23,0,2,0,0,0,0,0,1,0,0
