"Outcome_M9","Quan_2","Quan_3","Quan_4","Quan_5","Quan_7","Quan_8","Quan_9","Quan_10","Quan_13","Quan_14","Cat_4","Quan_18","Cat_349","Cat_359","Cat_388","Quant_24","Quant_25","Cat_469","Cat_470","Cat_494","Quan_27"
2000,8300,112,1995334,0,0,0,0,0,0,0,657,0,0,0,0,16,16,0,0,1,0
3000,8500,63,2053329,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0
3000,6900,44,373675,6,4,6,6,1,1,1,380,0,0,0,0,0,0,0,0,0,0
500,7100,65,18386,0,0,0,0,0,0,0,449,0,0,0,0,8,8,0,0,0,0
500,4600,10,88573,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0
500,5600,46,32724,6,2,6,6,2,2,2,625,0,0,0,0,0,0,0,0,0,0
500,8200,33,0,3,1,3,3,2,2,2,1359,0,0,0,0,0,0,0,0,0,0
500,6200,38,23149,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0
500,5300,6,1275,0,0,0,0,0,0,0,403,0,0,0,0,64,64,0,0,0,0
500,3900,22,396868,9,3,9,9,6,6,6,1044,0,0,0,0,6,6,0,0,0,0
2000,7300,82,1566700,0,0,0,0,0,0,0,39,0,0,0,2,32,32,0,0,0,0
500,5700,36,176114,0,0,0,0,0,0,0,54,0,0,0,0,12,0,0,0,0,0
500,4200,36,561128,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0
5000,8000,91,883301,0,0,0,0,0,0,0,413,16,0,0,0,46,46,2,0,0,0
2000,8500,122,1178524,124,34,124,124,54,54,54,444,0,0,0,0,0,0,2,0,1,0
500,4300,22,0,0,0,0,0,0,0,0,253,0,0,0,0,10,10,2,0,0,0
500,7400,40,49009,0,0,0,0,0,0,0,199,0,0,0,0,250,250,0,0,0,0
3000,6800,69,503559,0,0,0,0,0,0,0,37,0,0,0,0,36,36,0,0,0,0
500,5500,10,1275,0,0,0,0,0,0,0,403,0,0,0,0,64,64,0,0,0,0
500,7700,103,90686,31,14,31,31,19,19,19,18,0,0,0,0,4,0,0,0,0,0
500,5400,23,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
8000,8900,142,1394197,0,0,0,0,0,0,0,206,0,0,0,0,0,0,2,0,1,0
500,5200,21,308925,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0
500,6400,35,204611,0,0,0,0,0,0,0,96,0,0,0,0,25,25,0,0,0,0
500,6900,71,17619,0,0,0,0,0,0,0,712,0,0,0,0,7,0,0,0,0,0
2000,8200,107,689611,0,0,0,0,0,0,0,14,0,0,0,0,33,33,2,0,1,0
2000,6100,54,365492,26,17,26,26,9,9,9,1000,0,0,0,2,2,0,0,0,0,0
2000,5600,91,761,0,0,0,0,0,0,0,443,0,0,0,0,22,22,0,0,0,0
500,5300,5,72774,2,0,2,2,2,2,2,675,0,0,0,0,18,0,0,0,0,0
500,7500,78,23013,0,0,0,0,0,0,0,8,4,0,0,0,24,24,0,0,0,0
19000,9300,120,1808023,0,0,0,0,0,0,0,11,24,0,0,0,0,0,2,1,1,0
500,3800,57,0,36,5,36,36,9,9,9,1128,0,0,0,0,0,0,0,0,0,0
500,7100,21,65693,69,34,69,69,55,55,55,5,0,0,0,0,34,34,0,0,0,0
500,5900,69,641442,17,8,17,17,10,10,10,632,0,0,0,2,0,0,0,0,0,0
500,7900,32,58648,0,0,0,0,0,0,0,7,0,0,0,0,109,109,0,0,0,0
500,8000,74,682260,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0
2000,7900,109,669770,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2,0,1,0
500,6800,30,2727,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0,0,0
500,5800,61,575483,0,0,0,0,0,0,0,28,0,0,0,0,44,44,0,0,0,0
2000,8800,100,561962,0,0,0,0,0,0,0,36,0,0,0,0,72,72,2,0,0,0
500,8100,60,412632,0,0,0,0,0,0,0,50,0,0,0,0,18,18,0,0,0,0
500,8500,88,643979,0,0,0,0,0,0,0,87,8,0,0,0,112,112,2,0,0,0
500,7600,40,1951543,0,0,0,0,0,0,0,39,0,0,0,2,32,32,0,0,0,0
2000,8100,127,29197,0,0,0,0,0,0,0,125,0,0,0,0,11,11,2,0,0,0
