"Outcome_M6","Quan_2","Quan_3","Quan_4","Quan_5","Quan_8","Quan_9","Quan_10","Quan_13","Quan_14","Cat_2","Cat_3","Cat_4","Cat_6","Quan_16","Quan_17","Quan_18","Cat_210","Cat_216","Cat_400","Cat_403","Cat_466","Cat_467","Cat_469","Cat_470","Cat_498","Quan_27","Day_Of_Year_1"
2000,8300,76,538046,0,0,0,0,0,0,"28","114","183","2",16,0,16,"0","0","1","0","0","1","2","0","0",0,110.875
500,7600,50,557614,0,0,0,0,0,0,"28","132","446","23",4,0,0,"0","0","1","0","0","0","0","0","0",0,124.875
2000,8000,66,1119115,0,0,0,0,0,0,"5","8","11","2",16,0,0,"0","0","0","0","0","0","2","0","0",0,134.375
500,7600,81,58666,0,0,0,0,0,0,"56","142","543","2",8,0,8,"0","0","1","0","0","0","0","0","0",0,95.625
500,6900,98,428382,58,58,58,38,38,38,"53","215","687","2",32,0,0,"0","0","1","0","0","1","0","0","0",0,255.375
500,6000,81,62984,9,9,9,7,7,7,"9","347","589","10",0,0,0,"0","0","1","0","0","0","0","0","0",0,143.375
500,6900,112,414785,0,0,0,0,0,0,"1","304","501","10",0,0,0,"0","0","0","0","0","0","0","0","0",0,74.625
500,4700,10,42767,0,0,0,0,0,0,"4","12","248","17",0,2,0,"0","0","0","0","0","0","0","0","0",0,84.125
500,4800,10,0,0,0,0,0,0,0,"14","25","33","19",16,0,0,"0","0","0","0","0","0","0","0","0",0,133.375
500,5100,78,508995,0,0,0,0,0,0,"16","30","41","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,142.375
2000,4300,53,1698,4,4,4,3,3,3,"109","304","909","27",4,0,0,"0","0","1","1","0","0","0","0","0",0,361.625
2000,6500,54,37635,0,0,0,0,0,0,"45","100","155","1",6,0,0,"0","0","1","1","0","0","0","0","0",0,114.375
2000,6900,45,216645,0,0,0,0,0,0,"17","30","266","13",14,0,0,"2","0","1","0","0","0","0","0","0",0,343.125
500,7000,58,670326,0,0,0,0,0,0,"53","107","264","13",6,2,0,"0","0","0","0","0","0","0","0","0",0,168.125
500,6100,42,77366,0,0,0,0,0,0,"9","143","226","10",0,2,0,"0","0","0","0","0","0","0","0","0",0,56.125
2000,8800,99,332670,0,0,0,0,0,0,"16","33","384","2",0,0,0,"0","0","1","0","0","0","2","0","0",0,103.875
500,7100,35,149470,0,0,0,0,0,0,"8","15","366","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,140.875
500,6400,96,746269,0,0,0,0,0,0,"5","8","18","11",0,0,0,"0","0","1","0","0","0","2","0","0",0,305.375
500,4600,3,38595,0,0,0,0,0,0,"12","244","395","61",0,2,0,"0","0","0","0","0","0","0","0","0",0,117.875
500,7300,85,0,0,0,0,0,0,0,"16","268","586","27",0,0,0,"0","0","1","0","0","0","0","0","0",0,158.625
2000,6400,29,0,0,0,0,0,0,0,"28","97","182","41",2,0,0,"0","0","0","0","0","0","0","0","0",0,274.375
500,6800,21,0,0,0,0,0,0,0,"43","77","329","58",0,4,0,"0","2","1","0","0","0","0","0","0",0,155.125
500,5700,13,13798,0,0,0,0,0,0,"121","140","222","46",0,0,0,"0","0","0","0","0","0","0","0","0",0,116.625
2000,7600,55,0,14,14,14,7,7,7,"17","32","1354","4",4,4,0,"2","2","0","0","0","0","0","0","0",0,136.375
2000,7100,58,327817,0,0,0,0,0,0,"42","180","546","34",0,0,0,"0","0","1","0","0","0","2","0","0",0,76.375
2000,8000,79,143718,0,0,0,0,0,0,"8","141","572","2",12,0,0,"0","0","1","0","0","1","0","0","0",0,278.875
15000,7900,61,652377,0,0,0,0,0,0,"17","30","51","22",2,2,0,"2","2","1","0","0","0","0","0","0",0,15.375
2000,7200,61,606019,0,0,0,0,0,0,"16","268","431","2",2,0,0,"0","0","1","0","0","0","2","0","0",0,59.875
500,6900,39,73049,4,4,4,3,3,3,"16","304","1388","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,241.375
2000,0,1,224077,80,80,80,4,4,4,"59","357","1166","80",8,4,0,"0","0","0","0","0","0","0","0","0",0,138.375
3000,7200,105,856200,0,0,0,0,0,0,"29","247","399","10",0,0,0,"0","0","1","1","0","1","2","0","0",0,75.875
2000,8200,101,743429,0,0,0,0,0,0,"28","114","189","42",16,2,16,"0","0","1","0","0","1","2","0","0",0,259.125
10000,8400,63,1649272,0,0,0,0,0,0,"17","30","39","22",2,4,0,"2","2","1","0","0","0","0","0","0",0,42.625
2000,8200,50,743429,0,0,0,0,0,0,"28","114","189","42",14,2,14,"0","0","0","0","0","1","2","0","0",0,259.125
2000,7800,106,343410,0,0,0,0,0,0,"8","238","389","2",4,0,0,"0","0","1","0","0","1","0","0","0",0,348.875
3000,8900,37,0,12,12,12,5,5,5,"38","70","1168","63",0,2,0,"0","0","1","0","0","0","0","0","0",0,67.375
500,6600,9,0,1,1,1,1,1,1,"27","46","677","52",8,16,0,"0","0","1","0","0","0","0","0","0",0,144.625
500,5500,52,0,40,40,40,19,19,19,"42","138","1152","11",0,2,0,"0","0","0","0","0","0","0","0","0",0,262.375
2000,7900,53,58806,0,0,0,0,0,0,"45","101","158","7",0,4,0,"0","0","0","0","0","0","2","0","0",0,260.375
500,6500,79,529465,0,0,0,0,0,0,"19","39","252","2",8,2,8,"0","0","1","0","0","0","0","0","0",0,133.125
500,6700,66,503559,0,0,0,0,0,0,"16","29","37","18",2,2,0,"0","0","0","0","0","0","0","0","0",0,246.375
2000,6900,29,396498,0,0,0,0,0,0,"53","160","251","13",8,2,0,"0","0","1","0","0","0","0","0","0",0,76.125
5000,8600,92,1172663,36,36,36,7,7,7,"17","32","48","26",22,4,0,"2","2","1","0","0","1","2","0","0",0,87.375
15000,8100,44,438659,0,0,0,0,0,0,"17","30","51","22",2,2,0,"2","2","0","0","0","0","0","0","0",0,14.125
3000,7300,100,872255,76,76,76,37,37,37,"16","35","260","2",24,0,0,"0","0","1","0","0","1","2","0","0",0,101.375
2000,8500,84,169907,60,60,60,45,45,45,"16","424","754","2",12,0,0,"0","0","1","0","0","1","0","0","1",0,262.375
500,5300,10,176797,3,3,3,3,3,3,"53","403","1234","10",0,4,0,"0","0","1","0","0","0","0","0","0",0,136.375
2000,6300,73,35887,0,0,0,0,0,0,"29","236","387","2",12,0,0,"0","0","0","0","0","0","0","0","0",0,96.875
2000,6100,70,215765,0,0,0,0,0,0,"5","183","18","10",0,2,0,"0","0","0","0","0","0","0","0","0",0,91.125
500,8100,96,0,0,0,0,0,0,0,"42","90","140","24",50,4,0,"0","0","1","0","0","0","0","0","0",0,259.125
500,7600,63,4538,7,7,7,2,2,2,"28","385","655","23",4,0,0,"0","0","1","0","0","0","0","0","0",0,66.375
500,4700,55,13632,1,1,1,1,1,1,"27","477","85","10",2,0,0,"0","0","1","0","0","0","0","0","0",0,361.625
500,4000,7,98168,0,0,0,0,0,0,"28","140","222","46",0,0,0,"0","0","0","0","0","0","0","0","0",0,115.375
