"Outcome_M10","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_469_0","Cat_469_2","Cat_494_0","Cat_494_1","Cat_349_0","Cat_349_2","Cat_498_0","Cat_498_1","Cat_220_0","Cat_220_2","Cat_294_0","Cat_294_2"
2000,8300,112,1995334,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,0,1,1,0,0,1,1,0,1,0
3000,8500,63,2053329,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
2000,6900,44,373675,6,1,6,6,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
2000,7100,65,18386,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
500,4600,10,88573,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
500,5600,46,32724,6,2,6,6,2,2,2,2,1,0,1,0,1,0,1,0,1,0,1,0
500,8200,33,440417.6367713,3,1,3,3,2,1,2,2,1,0,1,0,1,0,1,0,1,0,1,0
500,6200,38,23149,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
500,5300,6,1275,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
500,3900,22,396868,9,2,9,9,6,2,6,6,1,0,1,0,1,0,1,0,1,0,1,0
500,7300,82,1566700,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
500,5700,36,176114,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
500,4200,36,561128,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
5000,8000,91,883301,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,0,1,1,0,1,0,1,0,1,0,1,0
2000,8500,122,1178524,124,27,124,124,54,21,54,54,0,1,0,1,1,0,0,1,1,0,1,0
500,4300,22,440417.6367713,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,0,1,1,0,1,0,1,0,1,0,1,0
500,7400,40,49009,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
3000,6800,69,503559,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
500,5500,10,1275,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
2000,7700,103,90686,31,8,31,31,19,7,19,19,1,0,1,0,1,0,1,0,1,0,1,0
500,5400,23,440417.6367713,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
5000,8900,142,1394197,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,0,1,0,1,1,0,0,1,1,0,1,0
500,5200,21,308925,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
500,6400,35,204611,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,1,0,1,0,1,0,1,0,1,0,1,0
