"Outcome_M9","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_13","Quan_14","Quan_18","Quant_24","Quant_25","Quan_27","Cat_469_0","Cat_469_2","Cat_470_0","Cat_470_1","Cat_494_0","Cat_494_1","Cat_349_0","Cat_349_2","Cat_359_0","Cat_359_2"
2000,8300,112,1995334,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,16,16,0,1,0,1,0,0,1,1,0,1,0
3000,8500,63,2053329,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
3000,6900,44,373675,6,1,4,6,6,1,1,1,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,7100,65,18386,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,8,8,0,1,0,1,0,1,0,1,0,1,0
500,4600,10,88573,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,5600,46,32724,6,2,2,6,6,2,2,2,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,8200,33,440417.6367713,3,1,1,3,3,2,2,2,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,6200,38,23149,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,5300,6,1275,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,64,64,0,1,0,1,0,1,0,1,0,1,0
500,3900,22,396868,9,2,3,9,9,6,6,6,11.0857142857143,6,6,0,1,0,1,0,1,0,1,0,1,0
2000,7300,82,1566700,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,32,32,0,1,0,1,0,1,0,1,0,1,0
500,5700,36,176114,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,12,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,4200,36,561128,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
