"Outcome_M2","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_4","Quan_18","Cat_110","Cat_349","Cat_404","Cat_466","Cat_467","Cat_469","Cat_484","Cat_494","Cat_498"
13000,8300,112,1995334,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,657,11.0857142857143,0,0,0,0,1,0,0,1,1
18000,8500,63,2053329,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,123,11.0857142857143,2,0,0,0,0,0,0,0,0
8000,6900,44,373675,6,1,6,6,1,1,1,1,380,11.0857142857143,2,0,0,0,0,0,0,0,0
500,7100,65,18386,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,449,11.0857142857143,0,0,0,0,1,0,0,0,0
500,4600,10,88573,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,551,11.0857142857143,0,0,0,0,0,0,0,0,0
500,5600,46,32724,6,2,6,6,2,2,2,2,625,11.0857142857143,0,0,0,0,0,0,0,0,0
3000,8200,33,440417.6367713,3,1,3,3,2,1,2,2,1359,11.0857142857143,0,0,0,0,0,0,0,0,0
2000,6200,38,23149,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,66,11.0857142857143,2,0,0,0,0,0,0,0,0
2000,5300,6,1275,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,403,11.0857142857143,0,0,0,0,0,0,0,0,0
500,3900,22,396868,9,2,9,9,6,2,6,6,1044,11.0857142857143,2,0,0,0,0,0,0,0,0
19000,7300,82,1566700,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,39,11.0857142857143,0,0,0,0,0,0,0,0,0
500,5700,36,176114,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,54,11.0857142857143,0,0,0,0,0,0,0,0,0
2000,4200,36,561128,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,359,11.0857142857143,0,0,0,0,0,0,0,0,0
15000,8000,91,883301,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,413,16,0,0,0,0,0,2,0,0,0
35000,8500,122,1178524,124,27,124,124,54,21,54,54,444,11.0857142857143,4,0,0,0,1,2,0,1,1
500,4300,22,440417.6367713,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,253,11.0857142857143,0,0,0,0,0,2,0,0,0
2000,7400,40,49009,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,199,11.0857142857143,0,0,0,0,0,0,0,0,0
3000,6800,69,503559,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,37,11.0857142857143,0,0,0,0,0,0,0,0,0
2000,5500,10,1275,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,403,11.0857142857143,0,0,0,0,0,0,0,0,0
2000,7700,103,90686,31,8,31,31,19,7,19,19,18,11.0857142857143,0,0,0,0,0,0,0,0,0
