"Outcome_M3","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_3","Cat_4","Quan_16","Quan_18","Cat_210","Cat_216","Cat_349","Quant_24","Quant_25","Cat_467","Cat_469","Cat_470","Cat_494","Cat_498","Quan_27","Day_Of_Year_1"
26000,2856,8300,112,1995334,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,387,657,2,11.0857142857143,0,0,0,16,16,1,0,0,1,1,0,116.625
34000,2490,8500,63,2053329,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,10,123,8,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,115.875
2000,2877,6900,44,373675,6,1,4,6,6,1,1,1,1,38,380,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,137.625
500,2613,7100,65,18386,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,275,449,8,11.0857142857143,0,0,0,8,8,1,0,0,0,0,0,238.875
500,2513,4600,10,88573,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,194,551,14,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,138.875
500,3073,5600,46,32724,6,2,2,6,6,2,2,2,2,368,625,2,11.0857142857143,0,2,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,333.625
2000,3325,8200,33,440417.6367713,3,1,1,3,3,2,1,2,2,663,1359,4,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,220.375
2000,2733,6200,38,23149,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,48,66,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,358.875
3000,2470,5300,6,1275,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,243,403,9.45927601809955,11.0857142857143,0,0,0,64,64,0,0,0,0,0,0,95.875
500,3213,3900,22,396868,9,2,3,9,9,6,2,6,6,555,1044,9.45927601809955,11.0857142857143,0,0,0,6,6,0,0,0,0,0,0,108.375
10000,1421,7300,82,1566700,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,30,39,2,11.0857142857143,2,2,0,32,32,0,0,0,0,0,0,142.625
500,1779,5700,36,176114,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,38,54,9.45927601809955,11.0857142857143,0,0,0,12,55.7813504823151,0,0,0,0,0,0,135.375
500,2313,4200,36,561128,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,220,359,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,304.125
27000,2485,8000,91,883301,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,75,413,16,16,0,0,0,46,46,0,2,0,0,0,0,110.875
6000,3339,8500,122,1178524,124,27,34,124,124,54,21,54,54,274,444,24,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,2,0,1,1,0,234.375
500,2079,4300,22,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,115,253,2,11.0857142857143,0,0,0,10,10,0,2,0,0,0,0,70.125
500,2261,7400,40,49009,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,50,199,2,11.0857142857143,0,2,0,250,250,0,0,0,0,0,0,252.125
2000,1890,6800,69,503559,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,29,37,2,11.0857142857143,0,0,0,36,36,0,0,0,0,0,0,246.375
3000,2484,5500,10,1275,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,243,403,9.45927601809955,11.0857142857143,0,0,0,64,64,0,0,0,0,0,0,109.875
2000,3171,7700,103,90686,31,8,14,31,31,19,7,19,19,131,18,9.45927601809955,11.0857142857143,0,0,0,4,55.7813504823151,0,0,0,0,0,0,66.375
2000,1778,5400,23,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,9,12,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,134.375
13000,2877,8900,142,1394197,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,114,206,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,2,0,1,1,0,137.625
2000,2142,5200,21,308925,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,132,212,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,133.125
3000,2477,6400,35,204611,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,64,96,2,11.0857142857143,0,2,0,25,25,0,0,0,0,0,0,102.875
2000,2842,6900,71,17619,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,407,712,9.45927601809955,11.0857142857143,0,0,0,7,55.7813504823151,0,0,0,0,0,0,102.625
21000,1757,8200,107,689611,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,11,14,4,11.0857142857143,0,0,0,33,33,0,2,0,1,0,0,113.375
2000,3218,6100,54,365492,26,5,17,26,26,9,4,9,9,114,1000,8,11.0857142857143,0,0,0,2,55.7813504823151,0,0,0,0,0,0,113.375
2000,2569,5600,91,761,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,268,443,16,11.0857142857143,0,0,0,22,22,0,0,0,0,0,0,194.875
500,3199,5300,5,72774,2,1,0,2,2,2,1,2,2,392,675,9.45927601809955,11.0857142857143,0,0,0,18,55.7813504823151,0,0,0,0,0,0,94.375
3000,1548,7500,78,23013,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,3,8,4,4,0,0,0,24,24,0,0,0,0,0,0,269.625
68000,2134,9300,120,1808023,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,7,11,18,24,0,0,0,53.1466275659824,55.7813504823151,1,2,1,1,0,0,125.125
500,3181,3800,57,440417.6367713,36,7,5,36,36,9,3,9,9,147,1128,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,76.375
2000,3353,7100,21,65693,69,17,34,69,69,55,13,55,55,4,5,2,11.0857142857143,2,2,0,34,34,0,0,0,0,0,0,248.375
2000,2891,5900,69,641442,17,2,8,17,17,10,2,10,10,114,632,16,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,0,0,0,151.625
2000,1777,7900,32,58648,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,5,7,8,11.0857142857143,2,2,0,109,109,0,0,0,0,0,0,133.375
2000,2254,8000,74,682260,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,210,344,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,245.125
5000,3192,7900,109,669770,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,362,30,4,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,2,0,1,1,0,87.375
500,2758,6800,30,2727,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,21,667,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,18.625
2000,1967,5800,61,575483,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,21,28,9.45927601809955,11.0857142857143,0,0,0,44,44,0,0,0,0,0,0,323.375
3000,1526,8800,100,561962,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,28,36,6,11.0857142857143,0,0,0,72,72,0,2,0,0,0,0,247.625
2000,1876,8100,60,412632,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,32,50,2,11.0857142857143,0,2,0,18,18,0,0,0,0,0,0,232.375
5000,2100,8500,88,643979,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,20,87,8,8,0,0,0,112,112,0,2,0,0,0,0,91.125
13000,1778,7600,40,1951543,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,30,39,2,11.0857142857143,2,2,0,32,32,0,0,0,0,0,0,134.375
3000,1602,8100,127,29197,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,75,125,8,11.0857142857143,2,0,0,11,11,0,2,0,0,0,0,323.625
500,2933,5500,53,33,1,0,0,1,1,1,0,1,1,21,702,4,11.0857142857143,0,0,0,24,24,0,0,0,0,0,0,193.625
