"Outcome_M4","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_3","Cat_4","Quan_17","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_466","Cat_469","Cat_470","Quan_27","Day_Of_Year_1"
3000,8300,112,1995334,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,387,657,2,11.0857142857143,0,0,0,0,0,0,0,0,116.625
8000,8500,63,2053329,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,10,123,4,11.0857142857143,0,0,0,0,0,0,0,0,115.875
2000,6900,44,373675,6,1,4,6,6,1,1,1,1,38,380,2,11.0857142857143,0,0,0,0,0,0,0,0,137.625
500,7100,65,18386,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,275,449,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,238.875
500,4600,10,88573,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,194,551,3.25355450236967,11.0857142857143,2,0,0,0,0,0,0,0,138.875
500,5600,46,32724,6,2,2,6,6,2,2,2,2,368,625,2,11.0857142857143,0,0,2,0,0,0,0,0,333.625
500,8200,33,440417.6367713,3,1,1,3,3,2,1,2,2,663,1359,4,11.0857142857143,0,0,0,0,0,0,0,0,220.375
2000,6200,38,23149,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,48,66,2,11.0857142857143,0,0,0,0,0,0,0,0,358.875
2000,5300,6,1275,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,243,403,4,11.0857142857143,0,0,0,0,0,0,0,0,95.875
500,3900,22,396868,9,2,3,9,9,6,2,6,6,555,1044,3,11.0857142857143,0,0,0,0,0,0,0,0,108.375
6000,7300,82,1566700,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,30,39,2,11.0857142857143,2,2,2,0,0,0,0,0,142.625
500,5700,36,176114,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,38,54,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,135.375
500,4200,36,561128,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,220,359,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,304.125
10000,8000,91,883301,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,75,413,3.25355450236967,16,0,0,0,0,0,2,0,0,110.875
3000,8500,122,1178524,124,27,34,124,124,54,21,54,54,274,444,2,11.0857142857143,0,0,0,0,0,2,0,0,234.375
2000,4300,22,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,115,253,2,11.0857142857143,0,0,0,0,0,2,0,0,70.125
2000,7400,40,49009,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,50,199,4,11.0857142857143,2,0,2,0,0,0,0,0,252.125
2000,6800,69,503559,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,29,37,2,11.0857142857143,0,0,0,0,0,0,0,0,246.375
2000,5500,10,1275,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,243,403,4,11.0857142857143,0,0,0,0,0,0,0,0,109.875
5000,7700,103,90686,31,8,14,31,31,19,7,19,19,131,18,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,66.375
2000,5400,23,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,9,12,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,134.375
8000,8900,142,1394197,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,114,206,3.25355450236967,11.0857142857143,0,0,0,0,0,2,0,0,137.625
500,5200,21,308925,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,132,212,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,133.125
2000,6400,35,204611,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,64,96,2,11.0857142857143,0,0,2,0,0,0,0,0,102.875
500,6900,71,17619,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,407,712,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,102.625
6000,8200,107,689611,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,11,14,4,11.0857142857143,0,0,0,0,0,2,0,0,113.375
2000,6100,54,365492,26,5,17,26,26,9,4,9,9,114,1000,2,11.0857142857143,0,0,0,0,0,0,0,0,113.375
2000,5600,91,761,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,268,443,4,11.0857142857143,0,0,0,0,0,0,0,0,194.875
500,5300,5,72774,2,1,0,2,2,2,1,2,2,392,675,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,94.375
3000,7500,78,23013,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,3,8,4,4,2,0,0,0,0,0,0,0,269.625
60000,9300,120,1808023,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,7,11,4,24,0,0,0,0,0,2,1,0,125.125
2000,3800,57,440417.6367713,36,7,5,36,36,9,3,9,9,147,1128,2,11.0857142857143,0,0,0,0,0,0,0,0,76.375
2000,7100,21,65693,69,17,34,69,69,55,13,55,55,4,5,2,11.0857142857143,2,2,2,0,0,0,0,0,248.375
2000,5900,69,641442,17,2,8,17,17,10,2,10,10,114,632,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,151.625
500,7900,32,58648,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,5,7,4,11.0857142857143,2,2,2,0,0,0,0,0,133.375
2000,8000,74,682260,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,210,344,2,11.0857142857143,0,0,0,0,0,0,0,0,245.125
15000,7900,109,669770,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,362,30,3.25355450236967,11.0857142857143,0,0,0,0,0,2,0,0,87.375
