"Outcome_M5","Quan_2","Quan_3","Quan_4","Quan_5","Quan_8","Quan_9","Quan_10","Quan_13","Quan_14","Cat_3","Cat_4","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_388","Quant_25","Cat_466","Cat_469","Cat_470","Cat_484","Cat_501","Quan_27","Day_Of_Year_1"
3000,8300,112,1995334,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,387,657,11.0857142857143,0,0,0,0,0,16,0,0,0,0,0,0,116.625
8000,8500,63,2053329,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,10,123,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,115.875
2000,6900,44,373675,6,6,6,1,1,1,38,380,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,137.625
500,7100,65,18386,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,275,449,11.0857142857143,0,0,0,0,0,8,0,0,0,0,0,0,238.875
500,4600,10,88573,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,194,551,11.0857142857143,2,0,0,0,0,55.7813504823151,0,0,0,0,0,0,138.875
500,5600,46,32724,6,6,6,2,2,2,368,625,11.0857142857143,0,0,2,0,0,55.7813504823151,0,0,0,0,0,0,333.625
500,8200,33,440417.6367713,3,3,3,2,2,2,663,1359,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,220.375
500,6200,38,23149,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,48,66,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,358.875
2000,5300,6,1275,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,243,403,11.0857142857143,0,0,0,0,0,64,0,0,0,0,0,0,95.875
500,3900,22,396868,9,9,9,6,6,6,555,1044,11.0857142857143,0,0,0,0,0,6,0,0,0,0,0,0,108.375
