"Outcome_M2","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_4","Quan_18","Cat_110","Cat_349","Cat_404","Cat_466","Cat_467","Cat_469","Cat_484","Cat_494","Cat_498"
3000,8300,76,538046,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"183",16,"0","0","0","0","1","2","0","0","0"
8000,7600,50,557614,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"446",11.0857142857143,"0","0","0","0","0","0","0","0","0"
15000,8000,66,1119115,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"11",11.0857142857143,"0","0","0","0","0","2","0","0","0"
2000,7600,81,58666,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"543",8,"2","0","0","0","0","0","0","0","0"
6000,6900,98,428382,58,29,58,58,38,26,38,38,"687",11.0857142857143,"0","0","0","0","1","0","0","1","0"
3000,6000,81,62984,9,1,9,9,7,0,7,7,"589",11.0857142857143,"0","0","0","0","0","0","0","0","0"
2000,6900,112,414785,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"501",11.0857142857143,"0","0","0","0","0","0","0","0","0"
500,4700,10,42767,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"248",11.0857142857143,"0","0","0","0","0","0","0","0","0"
500,4800,10,440417.6367713,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"33",11.0857142857143,"0","0","0","0","0","0","0","0","0"
10000,5100,78,508995,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"41",11.0857142857143,"0","0","0","0","0","0","0","0","0"
3000,4300,53,1698,4,2,4,4,3,1,3,3,"909",11.0857142857143,"3","0","0","0","0","0","0","0","0"
2000,6500,54,37635,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"155",11.0857142857143,"2","0","0","0","0","0","0","0","0"
2000,6900,45,216645,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"266",11.0857142857143,"0","0","0","0","0","0","0","0","0"
6000,7000,58,670326,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"264",11.0857142857143,"0","0","0","0","0","0","0","0","0"
2000,6100,42,77366,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"226",11.0857142857143,"2","0","0","0","0","0","0","0","0"
6000,8800,99,332670,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"384",11.0857142857143,"0","0","0","0","0","2","0","0","0"
500,7100,35,149470,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"366",11.0857142857143,"0","0","0","0","0","0","0","0","0"
5000,6400,96,746269,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"18",11.0857142857143,"0","0","0","0","0","2","0","0","0"
500,4600,3,38595,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"395",11.0857142857143,"0","0","0","0","0","0","0","0","0"
2000,7300,85,440417.6367713,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"586",11.0857142857143,"0","0","0","0","0","0","0","0","0"
500,6400,29,440417.6367713,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"182",11.0857142857143,"0","0","0","0","0","0","0","0","0"
2000,6800,21,440417.6367713,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"329",11.0857142857143,"0","0","0","0","0","0","0","0","0"
500,5700,13,13798,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"222",11.0857142857143,"0","0","0","0","0","0","0","0","0"
11000,7600,55,440417.6367713,14,5,14,14,7,1,7,7,"1354",11.0857142857143,"0","0","0","0","0","0","0","0","0"
2000,7100,58,327817,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"546",11.0857142857143,"0","0","0","0","0","2","0","0","0"
2000,8000,79,143718,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"572",11.0857142857143,"0","0","0","0","1","0","0","0","0"
11000,7900,61,652377,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"51",11.0857142857143,"0","0","0","0","0","0","0","0","0"
2000,7200,61,606019,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"431",11.0857142857143,"2","0","0","0","0","2","0","0","0"
500,6900,39,73049,4,1,4,4,3,1,3,3,"1388",11.0857142857143,"0","0","0","0","0","0","0","0","0"
6000,6987.22826086957,1,224077,80,6,80,80,4,1,4,4,"1166",11.0857142857143,"3","0","0","0","0","0","0","1","0"
15000,7200,105,856200,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"399",11.0857142857143,"0","0","0","0","1","2","0","1","0"
18000,8200,101,743429,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"189",16,"2","0","0","0","1","2","0","1","0"
40000,8400,63,1649272,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"39",11.0857142857143,"0","0","0","0","0","0","0","0","0"
6000,8200,50,743429,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"189",14,"2","0","0","0","1","2","0","1","0"
5000,7800,106,343410,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"389",11.0857142857143,"0","0","0","0","1","0","0","1","0"
3000,8900,37,440417.6367713,12,5,12,12,5,4,5,5,"1168",11.0857142857143,"3","0","0","0","0","0","0","0","0"
500,6600,9,440417.6367713,1,0,1,1,1,0,1,1,"677",11.0857142857143,"0","0","0","0","0","0","0","0","0"
2000,5500,52,440417.6367713,40,11,40,40,19,9,19,19,"1152",11.0857142857143,"2","0","0","0","0","0","0","0","0"
2000,7900,53,58806,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"158",11.0857142857143,"0","0","0","0","0","2","0","0","0"
19000,6500,79,529465,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"252",8,"2","0","0","0","0","0","0","0","0"
2000,6700,66,503559,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"37",11.0857142857143,"0","0","0","0","0","0","0","0","0"
2000,6900,29,396498,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"251",11.0857142857143,"0","0","0","0","0","0","0","0","0"
15000,8600,92,1172663,36,13,36,36,7,5,7,7,"48",11.0857142857143,"0","0","0","0","1","2","0","0","0"
10000,8100,44,438659,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"51",11.0857142857143,"0","0","0","0","0","0","0","0","0"
29000,7300,100,872255,76,33,76,76,37,24,37,37,"260",11.0857142857143,"0","0","0","0","1","2","0","0","0"
13000,8500,84,169907,60,20,60,60,45,16,45,45,"754",11.0857142857143,"0","0","0","0","1","0","0","1","1"
500,5300,10,176797,3,0,3,3,3,0,3,3,"1234",11.0857142857143,"4","0","0","0","0","0","0","0","0"
500,6300,73,35887,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"387",11.0857142857143,"0","0","0","0","0","0","0","0","0"
2000,6100,70,215765,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"18",11.0857142857143,"2","0","0","0","0","0","0","0","0"
2000,8100,96,440417.6367713,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"140",11.0857142857143,"0","0","0","0","0","0","0","0","0"
500,7600,63,4538,7,2,7,7,2,1,2,2,"655",11.0857142857143,"3","0","0","0","0","0","0","0","0"
2000,4700,55,13632,1,0,1,1,1,0,1,1,"85",11.0857142857143,"3","0","0","0","0","0","0","0","0"
2000,4000,7,98168,0,0,0,0,0,0,0,0,"222",11.0857142857143,"0","0","0","0","0","0","0","0","0"
500,7300,6,119498,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"202",11.0857142857143,"0","0","0","0","0","0","0","0","0"
2000,7600,51,384726,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"380",11.0857142857143,"2","0","0","0","0","0","0","0","0"
500,6200,89,1564,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"644",11.0857142857143,"0","0","0","0","0","0","0","0","0"
6000,6000,42,55669,35,16,35,35,18,10,18,18,"1362",11.0857142857143,"0","0","0","0","0","0","0","0","0"
18000,9000,82,802286,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"48",11.0857142857143,"0","0","0","0","1","2","0","1","0"
2000,4300,48,108948,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"672",11.0857142857143,"2","0","0","0","0","0","0","0","0"
16000,8300,110,870647,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"40",11.0857142857143,"0","0","0","0","1","2","0","0","0"
2000,5600,60,331563,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"360",11.0857142857143,"0","0","0","0","0","0","0","0","0"
3000,6400,24,440417.6367713,27,3,27,27,6,0,6,6,"285",11.0857142857143,"0","0","0","0","0","0","0","0","0"
15000,8400,144,1173440,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"30",11.0857142857143,"0","0","0","0","0","2","0","0","0"
500,6400,4,440417.6367713,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"739",11.0857142857143,"2","0","0","0","0","0","0","0","0"
26000,7800,43,697011,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"5",11.0857142857143,"0","0","0","0","0","0","0","0","0"
5000,7700,90,75621,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"217",11.0857142857143,"0","0","0","0","0","0","0","0","0"
35000,8600,121,1399606,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"129",11.0857142857143,"2","0","0","0","0","2","0","0","0"
13000,8900,44,907439,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"127",11.0857142857143,"0","0","0","0","0","0","0","0","0"
3000,8600,95,395580,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"478",11.0857142857143,"0","0","0","0","1","0","0","0","0"
2000,7900,72,58648,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"7",11.0857142857143,"0","0","0","0","0","0","0","0","0"
5000,7500,87,1575180,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"19",11.0857142857143,"3","0","0","0","0","0","0","0","0"
6000,7300,49,788296,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"49",11.0857142857143,"0","0","0","0","0","2","0","0","0"
500,6400,26,150368,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"660",11.0857142857143,"2","0","0","0","0","0","0","0","0"
3000,6987.22826086957,1,174848,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"323",11.0857142857143,"2","0","0","0","1","0","0","0","0"
500,6800,35,73049,4,1,4,4,4,1,4,4,"1388",11.0857142857143,"0","0","0","0","0","0","0","0","0"
2000,6200,7,440417.6367713,3,0,3,3,0,0,0,0,"69",11.0857142857143,"0","0","0","0","0","0","0","0","0"
3000,7800,77,466603,29.7883211678832,8.66058394160584,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"193",11.0857142857143,"0","0","0","0","0","0","0","0","0"
