"Outcome_M4","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_3","Cat_4","Quan_17","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_466","Cat_469","Cat_470","Quan_27","Day_Of_Year_1"
3000,8300,76,538046,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"114","183",3.25355450236967,16,"0","0","0","0","0","2","0",0,110.875
3000,7600,50,557614,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"132","446",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,124.875
3000,8000,66,1119115,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"8","11",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0",0,134.375
500,7600,81,58666,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"142","543",3.25355450236967,8,"0","0","0","0","0","0","0",0,95.625
2000,6900,98,428382,58,29,13,58,58,38,26,38,38,"215","687",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,255.375
500,6000,81,62984,9,1,3,9,9,7,0,7,7,"347","589",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,143.375
2000,6900,112,414785,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"304","501",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,74.625
500,4700,10,42767,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"12","248",2,11.0857142857143,"0","0","0","0","0","0","0",0,84.125
500,4800,10,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"25","33",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,133.375
2000,5100,78,508995,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"30","41",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,142.375
2000,4300,53,1698,4,2,0,4,4,3,1,3,3,"304","909",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,361.625
2000,6500,54,37635,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"100","155",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,114.375
2000,6900,45,216645,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"30","266",3.25355450236967,11.0857142857143,"2","2","0","0","0","0","0",0,343.125
2000,7000,58,670326,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"107","264",2,11.0857142857143,"0","0","0","0","0","0","0",0,168.125
500,6100,42,77366,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"143","226",2,11.0857142857143,"0","0","0","0","0","0","0",0,56.125
2000,8800,99,332670,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"33","384",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0",0,103.875
500,7100,35,149470,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"15","366",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,140.875
500,6400,96,746269,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"8","18",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0",0,305.375
500,4600,3,38595,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"244","395",2,11.0857142857143,"0","0","0","0","0","0","0",0,117.875
500,7300,85,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"268","586",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,158.625
2000,6400,29,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"97","182",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,274.375
2000,6800,21,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"77","329",4,11.0857142857143,"0","0","2","0","0","0","0",0,155.125
500,5700,13,13798,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"140","222",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,116.625
3000,7600,55,440417.6367713,14,5,8,14,14,7,1,7,7,"32","1354",4,11.0857142857143,"2","2","2","0","0","0","0",0,136.375
5000,7100,58,327817,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"180","546",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0",0,76.375
