"Outcome_M11","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Quan_16","Cat_467_0","Cat_467_1","Cat_469_0","Cat_469_2","Cat_470_0","Cat_470_1","Cat_3_1","Cat_3_3","Cat_3_4","Cat_3_5","Cat_3_7","Cat_3_9","Cat_3_10","Cat_3_11","Cat_3_13","Cat_3_20","Cat_3_23","Cat_3_28","Cat_3_29","Cat_3_30","Cat_3_32","Cat_3_35","Cat_3_38","Cat_3_48","Cat_3_50","Cat_3_51","Cat_3_64","Cat_3_67","Cat_3_75","Cat_3_78","Cat_3_79","Cat_3_89","Cat_3_97","Cat_3_100","Cat_3_107","Cat_3_109","Cat_3_113","Cat_3_114","Cat_3_115","Cat_3_116","Cat_3_131","Cat_3_132","Cat_3_136","Cat_3_142","Cat_3_165","Cat_3_183","Cat_3_194","Cat_3_206","Cat_3_220","Cat_3_232","Cat_3_236","Cat_3_240","Cat_3_243","Cat_3_251","Cat_3_252","Cat_3_254","Cat_3_268","Cat_3_270","Cat_3_274","Cat_3_300","Cat_3_323","Cat_3_329","Cat_3_336","Cat_3_339","Cat_3_345","Cat_3_362","Cat_3_387","Cat_3_392","Cat_3_394","Cat_3_403","Cat_3_408","Cat_3_449","Cat_3_499","Cat_3_555","Cat_110_0","Cat_110_2","Cat_110_3","Cat_110_4","Cat_245_0","Cat_245_2","Cat_349_0","Cat_349_2","Cat_403_0","Cat_403_1","Cat_494_0","Cat_494_1","Cat_498_0","Cat_498_1","Cat_3_2","Cat_3_6","Cat_3_8","Cat_3_12","Cat_3_14","Cat_3_15","Cat_3_16","Cat_3_25","Cat_3_27","Cat_3_31","Cat_3_33","Cat_3_34","Cat_3_36","Cat_3_37","Cat_3_39","Cat_3_40","Cat_3_41","Cat_3_46","Cat_3_49","Cat_3_54","Cat_3_55","Cat_3_56","Cat_3_57","Cat_3_58","Cat_3_70","Cat_3_73","Cat_3_76","Cat_3_77","Cat_3_82","Cat_3_85","Cat_3_88","Cat_3_90","Cat_3_93","Cat_3_96","Cat_3_98","Cat_3_101","Cat_3_104","Cat_3_105","Cat_3_106","Cat_3_108","Cat_3_117","Cat_3_118","Cat_3_122","Cat_3_123","Cat_3_125","Cat_3_126","Cat_3_127","Cat_3_128","Cat_3_129","Cat_3_133","Cat_3_135","Cat_3_138","Cat_3_139","Cat_3_140","Cat_3_141","Cat_3_143","Cat_3_144","Cat_3_150","Cat_3_153","Cat_3_154","Cat_3_155","Cat_3_156","Cat_3_158","Cat_3_159","Cat_3_160","Cat_3_161","Cat_3_162","Cat_3_166","Cat_3_167","Cat_3_168","Cat_3_171","Cat_3_176","Cat_3_178","Cat_3_179","Cat_3_180","Cat_3_187","Cat_3_190","Cat_3_192","Cat_3_193","Cat_3_198","Cat_3_207","Cat_3_208","Cat_3_209","Cat_3_213","Cat_3_214","Cat_3_215","Cat_3_216","Cat_3_217","Cat_3_218","Cat_3_221","Cat_3_222","Cat_3_223","Cat_3_225","Cat_3_226","Cat_3_227","Cat_3_228","Cat_3_230","Cat_3_231","Cat_3_233","Cat_3_237","Cat_3_238","Cat_3_241","Cat_3_244","Cat_3_246","Cat_3_247","Cat_3_253","Cat_3_255","Cat_3_257","Cat_3_258","Cat_3_259","Cat_3_264","Cat_3_267","Cat_3_269","Cat_3_273","Cat_3_276","Cat_3_277","Cat_3_278","Cat_3_279","Cat_3_282","Cat_3_290","Cat_3_297","Cat_3_299","Cat_3_304","Cat_3_327","Cat_3_333","Cat_3_334","Cat_3_335","Cat_3_341","Cat_3_347","Cat_3_352","Cat_3_357","Cat_3_364","Cat_3_365","Cat_3_373","Cat_3_378","Cat_3_379","Cat_3_385","Cat_3_389","Cat_3_391","Cat_3_393","Cat_3_395","Cat_3_400","Cat_3_406","Cat_3_409","Cat_3_411","Cat_3_414","Cat_3_418","Cat_3_420","Cat_3_424","Cat_3_426","Cat_3_430","Cat_3_454","Cat_3_467","Cat_3_468","Cat_3_477","Cat_3_482","Cat_3_484","Cat_3_487","Cat_3_488","Cat_3_534","Cat_3_554","Cat_3_559","Cat_3_564","Cat_3_578","Cat_3_579","Cat_3_580","Cat_3_584","Cat_3_589","Cat_3_607","Cat_3_627","Cat_3_647"
2000,8300,112,1995334,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,8500,63,2053329,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,8,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,6900,44,373675,6,1,4,1,1,9.45927601809955,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,7100,65,18386,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,4600,10,88573,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,14,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5600,46,32724,6,2,2,2,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,8200,33,440417.6367713,3,1,1,2,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,6200,38,23149,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,9.45927601809955,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5300,6,1275,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,9.45927601809955,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,3900,22,396868,9,2,3,6,2,9.45927601809955,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
