"Outcome_M10","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Quan_27","Cat_349_0","Cat_349_2","Cat_494_0","Cat_494_1","Cat_498_0","Cat_498_1","Cat_7_0","Cat_7_2","Cat_7_3","Cat_7_4","Cat_7_5","Cat_7_7","Cat_7_8","Cat_7_9","Cat_7_11","Cat_7_14","Cat_7_15","Cat_7_17","Cat_7_21","Cat_7_22","Cat_8_0","Cat_8_2","Cat_8_3","Cat_8_4","Cat_8_5","Cat_8_7","Cat_8_9","Cat_8_10","Cat_8_13","Cat_8_14","Cat_8_15","Cat_8_18","Cat_8_19","Cat_8_21","Cat_8_23","Cat_8_25","Cat_8_27","Cat_8_28","Cat_8_32","Cat_8_36","Cat_8_40","Cat_8_41","Cat_8_45","Cat_8_47","Cat_8_49","Cat_220_0","Cat_220_2","Cat_294_0","Cat_294_2"
500,8300,76,538046,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
500,7600,50,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
500,8000,66,1119115,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
500,7600,81,58666,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2000,6900,98,428382,58,29,13,38,26,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
500,6000,81,62984,9,1,3,7,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
500,6900,112,414785,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
500,4700,10,42767,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
500,4800,10,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
500,5100,78,508995,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2000,4300,53,1698,4,2,0,3,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
500,6500,54,37635,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2000,6900,45,216645,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2000,7000,58,670326,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
500,6100,42,77366,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2000,8800,99,332670,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
500,7100,35,149470,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
