"Outcome_M10","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_7","Cat_8","Cat_220","Cat_294","Cat_349","Cat_494","Cat_498","Quan_27"
2000,8300,112,1995334,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,1,1,0
3000,8500,63,2053329,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
2000,6900,44,373675,6,1,4,1,1,7,14,0,0,0,0,0,0
2000,7100,65,18386,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,4600,10,88573,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,3,3,0,0,0,0,0,0
500,5600,46,32724,6,2,2,2,2,0,0,0,0,0,0,0,0
500,8200,33,440417.6367713,3,1,1,2,1,0,0,0,0,0,0,0,0
500,6200,38,23149,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,5300,6,1275,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,3900,22,396868,9,2,3,6,2,0,0,0,0,0,0,0,0
500,7300,82,1566700,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,5700,36,176114,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,4200,36,561128,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
5000,8000,91,883301,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
2000,8500,122,1178524,124,27,34,54,21,0,0,0,0,0,1,1,0
500,4300,22,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,7400,40,49009,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
3000,6800,69,503559,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,5500,10,1275,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
2000,7700,103,90686,31,8,14,19,7,0,0,0,0,0,0,0,0
500,5400,23,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
5000,8900,142,1394197,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,7,14,0,0,0,1,1,0
500,5200,21,308925,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,6400,35,204611,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,6900,71,17619,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,8200,107,689611,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,2,2,0,0,0,1,0,0
500,6100,54,365492,26,5,17,9,4,3,3,0,0,0,0,0,0
2000,5600,91,761,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,5300,5,72774,2,1,0,2,1,0,0,0,0,0,0,0,0
2000,7500,78,23013,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
8000,9300,120,1808023,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,1,0,0
500,3800,57,440417.6367713,36,7,5,9,3,0,0,0,0,0,0,0,0
2000,7100,21,65693,69,17,34,55,13,0,0,0,0,0,0,0,0
500,5900,69,641442,17,2,8,10,2,5,5,0,0,0,0,0,0
500,7900,32,58648,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
2000,8000,74,682260,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,2,0,0,0,0
2000,7900,109,669770,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,7,21,0,0,0,1,1,0
500,6800,30,2727,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,5800,61,575483,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
6000,8800,100,561962,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,8100,60,412632,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,8500,88,643979,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,7600,40,1951543,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,2,0,0,0,0,0
2000,8100,127,29197,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,0,0,0,0,0,0,0,0
500,5500,53,33,1,0,0,1,0,0,0,0,0,0,0,0,0
500,7700,88,385016,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,7,14,0,0,0,0,0,0
