"Outcome_M11","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Quan_16","Cat_110","Cat_245","Cat_349","Cat_403","Cat_467","Cat_469","Cat_470","Cat_494","Cat_498"
2000,8300,112,1995334,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,387,2,0,0,0,0,1,0,0,1,1
3000,8500,63,2053329,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,10,8,2,0,0,0,0,0,0,0,0
2000,6900,44,373675,6,1,4,1,1,38,9.45927601809955,2,0,0,0,0,0,0,0,0
500,7100,65,18386,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,275,8,0,0,0,0,1,0,0,0,0
500,4600,10,88573,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,194,14,0,0,0,0,0,0,0,0,0
500,5600,46,32724,6,2,2,2,2,368,2,0,0,0,0,0,0,0,0,0
2000,8200,33,440417.6367713,3,1,1,2,1,663,4,0,0,0,0,0,0,0,0,0
500,6200,38,23149,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,48,9.45927601809955,2,0,0,0,0,0,0,0,0
500,5300,6,1275,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,243,9.45927601809955,0,0,0,0,0,0,0,0,0
500,3900,22,396868,9,2,3,6,2,555,9.45927601809955,2,0,0,0,0,0,0,0,0
500,7300,82,1566700,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,30,2,0,0,0,0,0,0,0,0,0
500,5700,36,176114,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,38,9.45927601809955,0,0,0,0,0,0,0,0,0
500,4200,36,561128,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,220,9.45927601809955,0,0,0,0,0,0,0,0,0
5000,8000,91,883301,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,75,16,0,0,0,1,0,2,0,0,0
3000,8500,122,1178524,124,27,34,54,21,274,24,4,0,0,0,1,2,0,1,1
500,4300,22,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,115,2,0,0,0,0,0,2,0,0,0
500,7400,40,49009,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,50,2,0,0,0,0,0,0,0,0,0
2000,6800,69,503559,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,29,2,0,0,0,0,0,0,0,0,0
500,5500,10,1275,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,243,9.45927601809955,0,0,0,0,0,0,0,0,0
500,7700,103,90686,31,8,14,19,7,131,9.45927601809955,0,0,0,0,0,0,0,0,0
