"Outcome_M3","Date_1","Quan_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Cat_4","Quan_16","Quan_18","Cat_110","Cat_204","Cat_216","Cat_349","Quant_24","Cat_467","Cat_469","Cat_470","Cat_494","Cat_498","Quan_27","Day_Of_Year_1"
26000,2856,2657500,8300,112,1995334,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,387,657,2,11.0857142857143,0,0,0,0,16,1,0,0,1,1,0,116.625
34000,2490,918600,8500,63,2053329,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,10,123,8,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,115.875
2000,2877,1578000,6900,44,373675,6,1,4,1,1,38,380,9.45927601809955,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,137.625
500,2613,2344300,7100,65,18386,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,275,449,8,11.0857142857143,0,0,0,0,8,1,0,0,0,0,0,238.875
500,2513,981000,4600,10,88573,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,194,551,14,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,138.875
500,3073,3311300,5600,46,32724,6,2,2,2,2,368,625,2,11.0857142857143,0,0,2,0,53.1466275659824,0,0,0,0,0,0,333.625
2000,3325,4238700,8200,33,440417.6367713,3,1,1,2,1,663,1359,4,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,220.375
2000,2733,1278800,6200,38,23149,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,48,66,9.45927601809955,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,358.875
3000,2470,918600,5300,6,1275,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,243,403,9.45927601809955,11.0857142857143,0,0,0,0,64,0,0,0,0,0,0,95.875
500,3213,2215700,3900,22,396868,9,2,3,6,2,555,1044,9.45927601809955,11.0857142857143,2,0,0,0,6,0,0,0,0,0,0,108.375
10000,1421,52200,7300,82,1566700,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,30,39,2,11.0857142857143,0,0,2,0,32,0,0,0,0,0,0,142.625
500,1779,538300,5700,36,176114,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,38,54,9.45927601809955,11.0857142857143,0,0,0,0,12,0,0,0,0,0,0,135.375
500,2313,719000,4200,36,561128,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,220,359,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,304.125
27000,2485,1864300,8000,91,883301,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,75,413,16,16,0,0,0,0,46,0,2,0,0,0,0,110.875
6000,3339,2613200,8500,122,1178524,124,27,34,54,21,274,444,24,11.0857142857143,4,0,0,0,53.1466275659824,1,2,0,1,1,0,234.375
500,2079,1080000,4300,22,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,115,253,2,11.0857142857143,0,0,0,0,10,0,2,0,0,0,0,70.125
500,2261,1588000,7400,40,49009,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,50,199,2,11.0857142857143,0,0,2,0,250,0,0,0,0,0,0,252.125
2000,1890,837500,6800,69,503559,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,29,37,2,11.0857142857143,0,0,0,0,36,0,0,0,0,0,0,246.375
3000,2484,1864300,5500,10,1275,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,243,403,9.45927601809955,11.0857142857143,0,0,0,0,64,0,0,0,0,0,0,109.875
2000,3171,3518300,7700,103,90686,31,8,14,19,7,131,18,9.45927601809955,11.0857142857143,0,0,0,0,4,0,0,0,0,0,0,66.375
2000,1778,538300,5400,23,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,9,12,9.45927601809955,11.0857142857143,0,2,0,0,53.1466275659824,0,0,0,0,0,0,134.375
13000,2877,2789600,8900,142,1394197,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,114,206,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,1,2,0,1,1,0,137.625
2000,2142,396300,5200,21,308925,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,132,212,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,133.125
3000,2477,918600,6400,35,204611,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,64,96,2,11.0857142857143,0,0,2,0,25,0,0,0,0,0,0,102.875
2000,2842,2657500,6900,71,17619,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,407,712,9.45927601809955,11.0857142857143,0,0,0,0,7,0,0,0,0,0,0,102.625
21000,1757,456200,8200,107,689611,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,11,14,4,11.0857142857143,2,0,0,0,33,0,2,0,1,0,0,113.375
2000,3218,3570700,6100,54,365492,26,5,17,9,4,114,1000,8,11.0857142857143,0,0,0,0,2,0,0,0,0,0,0,113.375
2000,2569,2281200,5600,91,761,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,268,443,16,11.0857142857143,2,0,0,0,22,0,0,0,0,0,0,194.875
500,3199,3570700,5300,5,72774,2,1,0,2,1,392,675,9.45927601809955,11.0857142857143,0,0,0,0,18,0,0,0,0,0,0,94.375
3000,1548,194600,7500,78,23013,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,3,8,4,4,0,0,0,0,24,0,0,0,0,0,0,269.625
68000,2134,1263700,9300,120,1808023,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,7,11,18,24,0,0,0,0,53.1466275659824,1,2,1,1,0,0,125.125
500,3181,2175300,3800,57,440417.6367713,36,7,5,9,3,147,1128,9.45927601809955,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,76.375
2000,3353,2671700,7100,21,65693,69,17,34,55,13,4,5,2,11.0857142857143,0,0,2,0,34,0,0,0,0,0,0,248.375
2000,2891,1797300,5900,69,641442,17,2,8,10,2,114,632,16,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,0,0,0,151.625
2000,1777,31600,7900,32,58648,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,5,7,8,11.0857142857143,0,0,2,0,109,0,0,0,0,0,0,133.375
2000,2254,1588000,8000,74,682260,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,210,344,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,245.125
5000,3192,3518300,7900,109,669770,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,362,30,4,11.0857142857143,2,0,0,0,53.1466275659824,1,2,0,1,1,0,87.375
500,2758,1298400,6800,30,2727,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,21,667,9.45927601809955,11.0857142857143,0,2,0,0,53.1466275659824,0,0,0,0,0,0,18.625
2000,1967,890700,5800,61,575483,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,21,28,9.45927601809955,11.0857142857143,3,2,0,0,44,0,0,0,0,0,0,323.375
3000,1526,194600,8800,100,561962,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,28,36,6,11.0857142857143,0,0,0,0,72,0,2,0,0,0,0,247.625
2000,1876,805400,8100,60,412632,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,32,50,2,11.0857142857143,0,0,2,0,18,0,0,0,0,0,0,232.375
5000,2100,1139100,8500,88,643979,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,20,87,8,8,0,0,0,0,112,0,2,0,0,0,0,91.125
13000,1778,31600,7600,40,1951543,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,30,39,2,11.0857142857143,0,0,2,0,32,0,0,0,0,0,0,134.375
3000,1602,277900,8100,127,29197,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,75,125,8,11.0857142857143,0,0,0,0,11,0,2,0,0,0,0,323.625
500,2933,1842000,5500,53,33,1,0,0,1,0,21,702,4,11.0857142857143,0,0,0,0,24,0,0,0,0,0,0,193.625
2000,2345,1684000,7700,88,385016,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,38,380,9.45927601809955,11.0857142857143,2,0,0,0,60,0,2,0,0,0,0,336.125
2000,1778,538300,4900,47,445190,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,120,192,9.45927601809955,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,134.375
8000,2296,685300,7900,101,1416697,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,89,139,16,11.0857142857143,0,0,0,0,76,0,2,0,0,0,0,287.125
3000,2604,2344300,9200,124,752566,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,23,32,2,11.0857142857143,0,0,0,0,19,1,2,0,1,0,0,229.875
3000,2618,2397500,7300,92,94900,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,113,495,8,8,2,0,0,0,55,0,0,0,0,0,0,243.875
2000,2380,820700,5700,31,67012,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,21,434,8,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,5.875
5000,3241,3792300,6900,30,1183119,53,4,32,13,1,32,1009,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,1,0,0,136.375
2000,2163,1467500,6500,13,109982,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,50,69,4,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,154.125
2000,2653,2425800,6800,95,38152,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,97,545,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,278.875
500,2485,918600,5800,30,195081,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,240,291,9.45927601809955,11.0857142857143,2,0,0,0,2,0,0,0,0,0,0,110.875
3000,3297,2539500,6700,68,694809,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,366,622,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,1,0,0,192.375
2000,3353,2671700,8000,85,233416,57,26,12,41,22,165,566,9.45927601809955,11.0857142857143,0,0,0,0,8,1,0,0,0,0,0,248.375
11000,2113,1139100,7100,83,477063,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,10,19,8,11.0857142857143,0,0,0,0,30,0,0,0,0,0,0,104.125
2000,2968,3122700,6600,97,405694,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,252,730,18,11.0857142857143,3,0,0,0,3,1,0,0,1,1,0,228.625
5000,2443,1804500,8800,62,28203,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,32,52,12,11.0857142857143,0,0,2,0,30,0,0,0,0,0,0,68.875
2000,3157,3440400,7400,116,850888,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,339,571,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,1,2,0,1,1,0,52.375
6000,3038,1979900,9100,88,262738,13,3,1,7,2,23,32,8,11.0857142857143,0,0,0,0,35,0,0,0,0,0,0,298.625
2000,2849,2657500,6000,25,366857,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,394,680,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,109.625
2000,1756,456200,6500,18,642619,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,107,174,9.45927601809955,11.0857142857143,0,2,0,0,20,0,0,0,0,0,0,112.375
3000,3570,2936200,7600,47,300522,22,13,0,17,10,641,203,16,11.0857142857143,3,0,0,0,53.1466275659824,1,0,0,1,1,0,100.125
500,3570,2936200,5400,7,440417.6367713,1,1,0,1,1,670,1375,9.45927601809955,11.0857142857143,0,0,0,0,2,0,0,0,0,0,0,100.125
6000,3584,2936200,5600,28,29,4,1,0,4,1,408,1536,8,11.0857142857143,0,0,0,0,44,1,0,0,1,0,0,114.125
2000,3465,2777700,7900,37,440417.6367713,5,0,0,3,0,23,32,8,11.0857142857143,0,0,0,0,39,0,0,0,0,0,0,360.375
500,3486,4525300,4700,92,90054,23,14,0,7,3,136,218,12,11.0857142857143,2,0,0,0,3,0,0,0,0,0,0,16.125
5000,3612,4934700,7300,57,469247,16,6,2,14,6,51,497,12,11.0857142857143,0,0,0,0,63,1,0,0,0,0,0,142.125
2000,3556,2896100,5000,52,14073,11,3,4,9,3,234,20,9.45927601809955,11.0857142857143,0,0,0,0,3,0,0,0,0,0,0,86.125
10000,3605,3057200,8000,44,985658,69,31,9,46,23,114,206,8,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,1,0,0,135.125
5000,3388,4355300,6400,39,1759054,187,14,132,39,10,114,1138,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,1,0,0,283.375
NA,3626,3210100,6000,31,53952,0,0,0,0,0,116,1539,9.45927601809955,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,156.125
8000,3577,2936200,7000,76,7696,33,3,3,25,3,79,278,4,11.0857142857143,2,0,0,0,4,1,0,0,0,0,0,107.125
2000,3444,4480600,6900,87,16594,6,2,1,6,2,142,543,4,4,4,0,0,0,53.1466275659824,0,0,0,0,0,0,339.375
2000,3416,2732900,7300,63,97852,39,12,12,30,11,542,1397,9.45927601809955,11.0857142857143,2,0,0,0,90,0,0,0,0,0,0,311.375
500,3612,3057200,4600,6,440417.6367713,1,0,0,1,0,709,1473,9.45927601809955,11.0857142857143,3,0,0,0,53.1466275659824,0,0,0,0,0,0,142.125
500,3591,3057200,6987.22826086957,2,235853,5,2,1,5,2,486,898,9.45927601809955,11.0857142857143,0,0,0,0,8,0,0,0,0,0,0,121.125
6000,3423,4398900,8700,132,862604,126,63,20,83,46,386,656,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,0,0,0,318.375
3000,3535,4645600,8000,87,5758,18,7,5,12,3,86,640,8,11.0857142857143,0,0,0,0,140,1,0,0,1,0,0,65.125
500,3493,4525300,8200,49,1602,7,5,0,4,2,714,1483,9.45927601809955,11.0857142857143,3,0,0,0,53.1466275659824,1,0,0,1,0,0,23.125
500,3486,2801100,6300,65,47075,4,2,0,2,2,183,1366,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,16.125
2000,3416,2732900,6300,60,127967,17,7,6,13,7,107,264,12,11.0857142857143,0,0,0,0,10,0,0,0,0,0,0,311.375
2000,3430,2732900,8700,84,28006,15,3,7,11,3,142,225,8,8,0,0,0,0,53.1466275659824,1,0,0,1,0,0,325.375
3000,3563,2936200,6100,53,18465,17,8,2,12,6,131,18,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,93.125
NA,3626,5212900,6300,40,53952,0,0,0,0,0,116,1539,9.45927601809955,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,156.125
71000,3577,4708900,9400,102,1139542,106,43,13,72,31,336,565,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,1,0,0,107.125
3000,3605,3057200,8700,46,284933,11,4,2,9,3,308,470,9.45927601809955,11.0857142857143,2,0,0,0,4,1,0,0,1,1,0,135.125
2000,3451,4480600,7100,96,6532,11,5,0,6,4,399,693,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,346.375
2000,3577,4708900,7800,19,440417.6367713,1,1,0,1,1,449,833,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,107.125
15000,3577,2936200,8600,16,635758,11,5,2,6,3,308,1490,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,107.125
2000,3416,2732900,7000,76,309164,41,16,5,34,16,423,753,16,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,311.375
2000,3451,4480600,5900,82,33837,13,3,0,8,3,232,305,10,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,346.375
11000,3605,4934700,8100,79,23277,22,6,2,17,5,706,243,16,16,4,0,0,0,53.1466275659824,0,0,0,0,0,0,135.125
2000,3570,2936200,7000,44,65248,4,2,0,4,2,362,30,2,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,100.125
2000,3601,4934700,7700,36,241220,18,1,5,12,1,542,763,9.45927601809955,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,131.125
16000,3601,3057200,9300,33,1729826,66,30,2,41,20,1,1,9.45927601809955,11.0857142857143,0,0,0,0,20,1,0,0,1,0,0,131.125
6000,3395,2704600,9400,97,169441,64,29,11,47,27,553,273,2,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,290.375
2000,3535,4645600,5700,78,167598,4,1,0,2,1,658,1347,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,65.125
2000,3521,4575000,8900,111,105605,38,22,2,24,13,370,628,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,1,0,0,51.125
500,3500,2835900,6300,23,39964,8,2,2,4,2,722,1503,9.45927601809955,11.0857142857143,2,2,0,0,8,0,0,0,0,0,0,30.125
500,3591,4934700,4700,10,440417.6367713,0,0,0,0,0,50,1130,3,11.0857142857143,2,0,0,0,9,1,0,0,1,0,0,121.125
2000,3458,4480600,7000,91,93023,25,9,0,15,5,345,1105,4,11.0857142857143,2,0,0,0,53.1466275659824,1,0,0,0,0,0,353.375
500,3563,4708900,3500,3,135717,7,2,0,2,1,545,1543,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,93.125
500,3514,4575000,7400,64,9596,1,0,0,1,0,586,1084,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,44.125
500,3577,4708900,6300,13,440417.6367713,4,0,1,2,0,700,1515,2,11.0857142857143,0,0,0,0,10,0,0,0,0,0,0,107.125
500,3430,4398900,4900,25,23286,14,2,1,5,2,403,371,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,325.375
10000,3481,2801100,8200,28,171279,102,27,53,37,21,30,51,2,11.0857142857143,0,0,2,0,53.1466275659824,0,0,0,0,0,0,11.125
3000,3556,2896100,7800,53,440417.6367713,4,2,0,3,1,583,199,8,11.0857142857143,0,0,2,0,53.1466275659824,1,0,0,1,0,0,86.125
32000,3601,4934700,9500,105,1729826,62,28,2,41,20,1,1,9.45927601809955,11.0857142857143,0,0,0,0,20,1,0,0,1,0,0,131.125
10000,3570,4708900,8000,32,346384,14,1,2,11,1,206,1083,9.45927601809955,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,100.125
2000,3458,2777700,7400,80,132449,33,17,4,19,10,236,193,4,11.0857142857143,4,0,0,0,53.1466275659824,1,0,0,1,0,0,353.375
NA,3682,3254500,8300,3,275,13,8,1,13,8,67,432,6,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,1,1,0,212.125
500,3535,2896100,7200,76,44828,19,10,3,15,8,111,686,16,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,1,0,0,65.125
15000,3575,2936200,7700,22,621939,39,7,8,23,7,265,1471,9.45927601809955,11.0857142857143,2,0,0,0,33,0,0,0,1,0,0,105.125
2000,3451,4480600,4900,116,382119,68,32,12,42,21,254,535,8,11.0857142857143,0,0,0,2,53.1466275659824,1,0,0,1,0,0,346.375
3000,3542,4645600,7800,73,17777,10,1,0,8,1,272,1466,9.45927601809955,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,72.125
27000,3575,4708900,8000,43,621939,41,8,9,25,8,265,1471,9.45927601809955,11.0857142857143,2,0,0,0,33,0,0,0,1,0,0,105.125
10000,3395,4355300,9400,112,169441,58,27,11,44,25,553,273,2,2,2,0,0,0,53.1466275659824,0,0,0,0,0,0,290.375
500,3514,2835900,7600,63,9596,1,0,0,1,0,586,1084,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,44.125
