"Outcome_M4","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Cat_4","Quan_17","Quan_18","Cat_162","Cat_210","Cat_216","Cat_466","Cat_467","Cat_469","Cat_470","Cat_495","Quan_27","Day_Of_Year_1"
3000,2856,8300,112,1995334,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,387,657,2,11.0857142857143,0,0,0,0,1,0,0,0,0,116.625
8000,2490,8500,63,2053329,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,10,123,4,11.0857142857143,0,0,0,0,0,0,0,0,0,115.875
2000,2877,6900,44,373675,6,1,4,1,1,38,380,2,11.0857142857143,0,0,0,0,0,0,0,0,0,137.625
500,2613,7100,65,18386,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,275,449,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,238.875
500,2513,4600,10,88573,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,194,551,3.25355450236967,11.0857142857143,2,0,0,0,0,0,0,0,0,138.875
500,3073,5600,46,32724,6,2,2,2,2,368,625,2,11.0857142857143,0,0,2,0,0,0,0,0,0,333.625
500,3325,8200,33,440417.6367713,3,1,1,2,1,663,1359,4,11.0857142857143,0,0,0,0,0,0,0,0,0,220.375
2000,2733,6200,38,23149,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,48,66,2,11.0857142857143,0,0,0,0,0,0,0,0,0,358.875
2000,2470,5300,6,1275,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,243,403,4,11.0857142857143,0,0,0,0,0,0,0,0,0,95.875
500,3213,3900,22,396868,9,2,3,6,2,555,1044,3,11.0857142857143,0,0,0,0,0,0,0,0,0,108.375
6000,1421,7300,82,1566700,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,30,39,2,11.0857142857143,2,2,2,0,0,0,0,0,0,142.625
500,1779,5700,36,176114,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,38,54,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,135.375
