"Outcome_M9","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Cat_4","Quan_18","Cat_349","Cat_359","Quant_24","Quant_25","Cat_469","Cat_470","Cat_494","Quan_27"
2000,8300,112,1995334,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,387,657,11.0857142857143,0,0,16,16,0,0,1,0
3000,8500,63,2053329,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,10,123,11.0857142857143,0,0,53.1466275659824,55.7813504823151,0,0,0,0
3000,6900,44,373675,6,1,4,1,1,38,380,11.0857142857143,0,0,53.1466275659824,55.7813504823151,0,0,0,0
500,7100,65,18386,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,275,449,11.0857142857143,0,0,8,8,0,0,0,0
500,4600,10,88573,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,194,551,11.0857142857143,0,0,53.1466275659824,55.7813504823151,0,0,0,0
500,5600,46,32724,6,2,2,2,2,368,625,11.0857142857143,0,0,53.1466275659824,55.7813504823151,0,0,0,0
500,8200,33,440417.6367713,3,1,1,2,1,663,1359,11.0857142857143,0,0,53.1466275659824,55.7813504823151,0,0,0,0
500,6200,38,23149,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,48,66,11.0857142857143,0,0,53.1466275659824,55.7813504823151,0,0,0,0
500,5300,6,1275,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,243,403,11.0857142857143,0,0,64,64,0,0,0,0
500,3900,22,396868,9,2,3,6,2,555,1044,11.0857142857143,0,0,6,6,0,0,0,0
2000,7300,82,1566700,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,30,39,11.0857142857143,0,0,32,32,0,0,0,0
500,5700,36,176114,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,38,54,11.0857142857143,0,0,12,55.7813504823151,0,0,0,0
500,4200,36,561128,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,220,359,11.0857142857143,0,0,53.1466275659824,55.7813504823151,0,0,0,0
5000,8000,91,883301,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,75,413,16,0,0,46,46,2,0,0,0
2000,8500,122,1178524,124,27,34,54,21,274,444,11.0857142857143,0,0,53.1466275659824,55.7813504823151,2,0,1,0
500,4300,22,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,115,253,11.0857142857143,0,0,10,10,2,0,0,0
500,7400,40,49009,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,50,199,11.0857142857143,0,0,250,250,0,0,0,0
3000,6800,69,503559,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,29,37,11.0857142857143,0,0,36,36,0,0,0,0
500,5500,10,1275,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,243,403,11.0857142857143,0,0,64,64,0,0,0,0
500,7700,103,90686,31,8,14,19,7,131,18,11.0857142857143,0,0,4,55.7813504823151,0,0,0,0
500,5400,23,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,9,12,11.0857142857143,0,0,53.1466275659824,55.7813504823151,0,0,0,0
8000,8900,142,1394197,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,114,206,11.0857142857143,0,0,53.1466275659824,55.7813504823151,2,0,1,0
500,5200,21,308925,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,132,212,11.0857142857143,0,0,53.1466275659824,55.7813504823151,0,0,0,0
500,6400,35,204611,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,64,96,11.0857142857143,0,0,25,25,0,0,0,0
500,6900,71,17619,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,407,712,11.0857142857143,0,0,7,55.7813504823151,0,0,0,0
2000,8200,107,689611,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,11,14,11.0857142857143,0,0,33,33,2,0,1,0
2000,6100,54,365492,26,5,17,9,4,114,1000,11.0857142857143,0,0,2,55.7813504823151,0,0,0,0
2000,5600,91,761,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,268,443,11.0857142857143,0,0,22,22,0,0,0,0
500,5300,5,72774,2,1,0,2,1,392,675,11.0857142857143,0,0,18,55.7813504823151,0,0,0,0
500,7500,78,23013,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,3,8,4,0,0,24,24,0,0,0,0
19000,9300,120,1808023,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,7,11,24,0,0,53.1466275659824,55.7813504823151,2,1,1,0
500,3800,57,440417.6367713,36,7,5,9,3,147,1128,11.0857142857143,0,0,53.1466275659824,55.7813504823151,0,0,0,0
500,7100,21,65693,69,17,34,55,13,4,5,11.0857142857143,0,0,34,34,0,0,0,0
500,5900,69,641442,17,2,8,10,2,114,632,11.0857142857143,0,0,53.1466275659824,55.7813504823151,0,0,0,0
500,7900,32,58648,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,5,7,11.0857142857143,0,0,109,109,0,0,0,0
500,8000,74,682260,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,210,344,11.0857142857143,0,0,53.1466275659824,55.7813504823151,0,0,0,0
2000,7900,109,669770,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,362,30,11.0857142857143,0,0,53.1466275659824,55.7813504823151,2,0,1,0
