"Outcome_M11","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Quan_16","Cat_110","Cat_245","Cat_349","Cat_403","Cat_467","Cat_469","Cat_470","Cat_494","Cat_498"
500,8300,76,538046,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114",16,"0","0","0","0","1","2","0","0","0"
500,7600,50,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"132",4,"0","0","0","0","0","0","0","0","0"
500,8000,66,1119115,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8",16,"0","0","0","0","0","2","0","0","0"
500,7600,81,58666,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"142",8,"2","0","0","0","0","0","0","0","0"
500,6900,98,428382,58,29,13,38,26,"215",32,"0","0","0","0","1","0","0","1","0"
500,6000,81,62984,9,1,3,7,0,"347",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,6900,112,414785,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"304",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,4700,10,42767,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"12",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,4800,10,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"25",16,"0","0","0","0","0","0","0","0","0"
500,5100,78,508995,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,4300,53,1698,4,2,0,3,1,"304",4,"3","0","0","1","0","0","0","0","0"
500,6500,54,37635,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"100",6,"2","0","0","1","0","0","0","0","0"
500,6900,45,216645,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30",14,"0","0","0","0","0","0","0","0","0"
500,7000,58,670326,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"107",6,"0","0","0","0","0","0","0","0","0"
500,6100,42,77366,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"143",9.45927601809955,"2","0","0","0","0","0","0","0","0"
2000,8800,99,332670,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"33",9.45927601809955,"0","0","0","0","0","2","0","0","0"
500,7100,35,149470,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"15",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,6400,96,746269,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8",9.45927601809955,"0","0","0","0","0","2","0","0","0"
500,4600,3,38595,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"244",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,7300,85,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"268",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,6400,29,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"97",2,"0","0","0","0","0","0","0","0","0"
500,6800,21,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"77",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,5700,13,13798,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"140",9.45927601809955,"0","0","0","0","0","0","0","0","0"
2000,7600,55,440417.6367713,14,5,8,7,1,"32",4,"0","0","0","0","0","0","0","0","0"
500,7100,58,327817,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"180",9.45927601809955,"0","0","0","0","0","2","0","0","0"
500,8000,79,143718,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"141",12,"0","0","0","0","1","0","0","0","0"
500,7900,61,652377,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30",2,"0","0","0","0","0","0","0","0","0"
500,7200,61,606019,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"268",2,"2","0","0","0","0","2","0","0","0"
500,6900,39,73049,4,1,1,3,1,"304",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,6987.22826086957,1,224077,80,6,67,4,1,"357",8,"3","0","0","0","0","0","0","1","0"
3000,7200,105,856200,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"247",9.45927601809955,"0","0","0","1","1","2","0","1","0"
2000,8200,101,743429,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114",16,"2","0","0","0","1","2","0","1","0"
