"Outcome_M3","Date_1","Quan_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Cat_4","Quan_16","Quan_18","Cat_110","Cat_204","Cat_216","Cat_349","Quant_24","Cat_467","Cat_469","Cat_470","Cat_494","Cat_498","Quan_27","Day_Of_Year_1"
8000,2485,918600,8300,76,538046,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114","183",16,16,"0","0","0","0",9,"1","2","0","0","0",0,110.875
2000,2499,981000,7600,50,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"132","446",4,11.0857142857143,"0","0","0","0",53.1466275659824,"0","0","0","0","0",0,124.875
8000,1778,31600,8000,66,1119115,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","11",16,11.0857142857143,"0","0","0","0",53.1466275659824,"0","2","0","0","0",0,134.375
2000,2835,2657500,7600,81,58666,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"142","543",8,8,"2","0","0","0",53.1466275659824,"0","0","0","0","0",0,95.625
2000,3360,2671700,6900,98,428382,58,29,13,38,26,"215","687",32,11.0857142857143,"0","0","0","0",53.1466275659824,"1","0","0","1","0",0,255.375
500,3248,2301100,6000,81,62984,9,1,3,7,0,"347","589",9.45927601809955,11.0857142857143,"0","0","0","0",53.1466275659824,"0","0","0","0","0",0,143.375
500,2814,1411600,6900,112,414785,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"304","501",9.45927601809955,11.0857142857143,"0","0","0","0",53.1466275659824,"0","0","0","0","0",0,74.625
500,2093,1080000,4700,10,42767,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"12","248",9.45927601809955,11.0857142857143,"0","0","0","0",30,"0","0","0","0","0",0,84.125
500,1777,538300,4800,10,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"25","33",16,11.0857142857143,"0","0","0","0",6,"0","0","0","0","0",0,133.375
2000,1786,538300,5100,78,508995,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","41",9.45927601809955,11.0857142857143,"0","0","0","0",2,"0","0","0","0","0",0,142.375
2000,3101,2054000,4300,53,1698,4,2,0,3,1,"304","909",4,11.0857142857143,"3","0","0","0",53.1466275659824,"0","0","0","0","0",0,361.625
