"Outcome_M4","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Cat_4","Quan_17","Quan_18","Cat_162","Cat_210","Cat_216","Cat_466","Cat_467","Cat_469","Cat_470","Cat_495","Quan_27","Day_Of_Year_1"
3000,2485,8300,76,538046,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114","183",3.25355450236967,16,"0","0","0","0","1","2","0","0",0,110.875
3000,2499,7600,50,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"132","446",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,124.875
3000,1778,8000,66,1119115,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","11",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0","0",0,134.375
500,2835,7600,81,58666,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"142","543",3.25355450236967,8,"0","0","0","0","0","0","0","0",0,95.625
2000,3360,6900,98,428382,58,29,13,38,26,"215","687",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,255.375
500,3248,6000,81,62984,9,1,3,7,0,"347","589",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,143.375
2000,2814,6900,112,414785,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"304","501",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,74.625
500,2093,4700,10,42767,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"12","248",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,84.125
500,1777,4800,10,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"25","33",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,133.375
2000,1786,5100,78,508995,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","41",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,142.375
2000,3101,4300,53,1698,4,2,0,3,1,"304","909",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,361.625
2000,1758,6500,54,37635,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"100","155",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,114.375
2000,2352,6900,45,216645,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","266",3.25355450236967,11.0857142857143,"2","2","0","0","0","0","0","0",0,343.125
2000,2177,7000,58,670326,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"107","264",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,168.125
500,2065,6100,42,77366,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"143","226",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,56.125
2000,2478,8800,99,332670,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"33","384",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0","0",0,103.875
500,2515,7100,35,149470,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"15","366",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,140.875
500,1949,6400,96,746269,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","18",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0","0",0,305.375
500,2492,4600,3,38595,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"244","395",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,117.875
500,2898,7300,85,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"268","586",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,158.625
2000,1918,6400,29,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"97","182",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,274.375
2000,2164,6800,21,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"77","329",4,11.0857142857143,"0","0","2","0","0","0","0","0",0,155.125
500,2856,5700,13,13798,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"140","222",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,116.625
3000,3241,7600,55,440417.6367713,14,5,8,7,1,"32","1354",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,136.375
5000,3181,7100,58,327817,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"180","546",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0","0",0,76.375
500,2653,8000,79,143718,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"141","572",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,278.875
2000,1659,7900,61,652377,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","51",2,11.0857142857143,"2","2","2","0","0","0","0","0",0,15.375
3000,2434,7200,61,606019,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"268","431",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0","0",0,59.875
500,3346,6900,39,73049,4,1,1,3,1,"304","1388",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,241.375
3000,3243,6987.22826086957,1,224077,80,6,67,4,1,"357","1166",4,11.0857142857143,"2","0","0","0","0","0","0","0",0,138.375
