"Outcome_M6","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_2","Cat_3","Cat_4","Cat_6","Quan_17","Quan_18","Cat_210","Cat_216","Cat_400","Cat_403","Cat_466","Cat_467","Cat_469","Cat_470","Cat_498","Quan_27","Day_Of_Year_1"
2000,8300,76,538046,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","183","2",3.25355450236967,16,"0","0","1","0","0","1","2","0","0",0,110.875
500,7600,50,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","132","446","23",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,124.875
2000,8000,66,1119115,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","8","11","2",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","2","0","0",0,134.375
500,7600,81,58666,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"56","142","543","2",3.25355450236967,8,"0","0","1","0","0","0","0","0","0",0,95.625
500,6900,98,428382,58,29,13,38,26,"53","215","687","2",3.25355450236967,11.0857142857143,"0","0","1","0","0","1","0","0","0",0,255.375
500,6000,81,62984,9,1,3,7,0,"9","347","589","10",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,143.375
500,6900,112,414785,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"1","304","501","10",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,74.625
500,4700,10,42767,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4","12","248","17",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,84.125
500,4800,10,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"14","25","33","19",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,133.375
500,5100,78,508995,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","30","41","11",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,142.375
2000,4300,53,1698,4,2,0,3,1,"109","304","909","27",3.25355450236967,11.0857142857143,"0","0","1","1","0","0","0","0","0",0,361.625
2000,6500,54,37635,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"45","100","155","1",3.25355450236967,11.0857142857143,"0","0","1","1","0","0","0","0","0",0,114.375
2000,6900,45,216645,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","266","13",3.25355450236967,11.0857142857143,"2","0","1","0","0","0","0","0","0",0,343.125
