"Outcome_M7","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_2","Cat_3","Cat_4","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_349","Cat_388","Cat_400","Cat_466","Cat_467","Cat_469","Cat_470","Cat_494","Quan_27","Day_Of_Year_1"
2000,2485,8300,76,538046,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","183",16,"0","0","0","0","0","0","1","0","1","2","0","0",0,110.875
2000,2499,7600,50,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","132","446",11.0857142857143,"0","0","0","0","0","2","1","0","0","0","0","0",0,124.875
2000,1778,8000,66,1119115,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","8","11",11.0857142857143,"0","0","0","0","0","0","0","0","0","2","0","0",0,134.375
500,2835,7600,81,58666,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"56","142","543",8,"0","0","0","0","0","0","1","0","0","0","0","0",0,95.625
500,3360,6900,98,428382,58,29,13,38,26,"53","215","687",11.0857142857143,"0","0","0","0","0","0","1","0","1","0","0","1",0,255.375
500,3248,6000,81,62984,9,1,3,7,0,"9","347","589",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,143.375
500,2814,6900,112,414785,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"1","304","501",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,74.625
500,2093,4700,10,42767,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4","12","248",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,84.125
500,1777,4800,10,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"14","25","33",11.0857142857143,"0","0","0","0","0","2","0","0","0","0","0","0",0,133.375
500,1786,5100,78,508995,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","30","41",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,142.375
2000,3101,4300,53,1698,4,2,0,3,1,"109","304","909",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,361.625
500,1758,6500,54,37635,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"45","100","155",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,114.375
3000,2352,6900,45,216645,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","266",11.0857142857143,"2","2","0","0","0","0","1","0","0","0","0","0",0,343.125
2000,2177,7000,58,670326,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","107","264",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,168.125
500,2065,6100,42,77366,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"9","143","226",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,56.125
2000,2478,8800,99,332670,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","33","384",11.0857142857143,"0","0","0","0","0","0","1","0","0","2","0","0",0,103.875
500,2515,7100,35,149470,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","15","366",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,140.875
3000,1949,6400,96,746269,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","8","18",11.0857142857143,"0","0","0","0","0","0","1","0","0","2","0","0",0,305.375
2000,2492,4600,3,38595,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"12","244","395",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,117.875
500,2898,7300,85,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","268","586",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,158.625
500,1918,6400,29,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","97","182",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,274.375
2000,2164,6800,21,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"43","77","329",11.0857142857143,"0","0","2","0","0","0","1","0","0","0","0","0",0,155.125
500,2856,5700,13,13798,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"121","140","222",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,116.625
2000,3241,7600,55,440417.6367713,14,5,8,7,1,"17","32","1354",11.0857142857143,"2","2","2","0","0","0","0","0","0","0","0","0",0,136.375
500,3181,7100,58,327817,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","180","546",11.0857142857143,"0","0","0","0","0","0","1","0","0","2","0","0",0,76.375
500,2653,8000,79,143718,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","141","572",11.0857142857143,"0","0","0","0","0","0","1","0","1","0","0","0",0,278.875
3000,1659,7900,61,652377,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","51",11.0857142857143,"2","2","2","0","0","0","1","0","0","0","0","0",0,15.375
2000,2434,7200,61,606019,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","268","431",11.0857142857143,"0","0","0","0","0","0","1","0","0","2","0","0",0,59.875
500,3346,6900,39,73049,4,1,1,3,1,"16","304","1388",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,241.375
2000,3243,6987.22826086957,1,224077,80,6,67,4,1,"59","357","1166",11.0857142857143,"2","0","0","0","0","0","0","0","0","0","0","1",0,138.375
2000,2450,7200,105,856200,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"29","247","399",11.0857142857143,"0","0","0","0","0","0","1","0","1","2","0","1",0,75.875
2000,2268,8200,101,743429,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","189",16,"0","0","0","0","0","2","1","0","1","2","0","1",0,259.125
10000,2782,8400,63,1649272,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","39",11.0857142857143,"2","2","2","2","0","2","1","0","0","0","0","0",0,42.625
2000,2268,8200,50,743429,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","189",14,"0","0","0","0","0","2","0","0","1","2","0","1",0,259.125
3000,2723,7800,106,343410,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","238","389",11.0857142857143,"0","0","0","0","0","0","1","0","1","0","0","1",0,348.875
3000,3172,8900,37,440417.6367713,12,5,5,5,4,"38","70","1168",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,67.375
500,2884,6600,9,440417.6367713,1,0,0,1,0,"27","46","677",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,144.625
2000,3367,5500,52,440417.6367713,40,11,5,19,9,"42","138","1152",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,262.375
500,1904,7900,53,58806,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"45","101","158",11.0857142857143,"2","0","0","0","0","0","0","0","0","2","0","0",0,260.375
500,2142,6500,79,529465,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"19","39","252",8,"0","0","0","0","0","0","1","0","0","0","0","0",0,133.125
500,1890,6700,66,503559,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","29","37",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,246.375
2000,2085,6900,29,396498,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","160","251",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,76.125
5000,3192,8600,92,1172663,36,13,17,7,5,"17","32","48",11.0857142857143,"2","2","2","0","0","0","1","0","1","2","0","0",0,87.375
3000,2023,8100,44,438659,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","51",11.0857142857143,"2","2","2","0","0","0","0","0","0","0","0","0",0,14.125
3000,3206,7300,100,872255,76,33,26,37,24,"16","35","260",11.0857142857143,"0","0","0","0","0","0","1","0","1","2","0","0",0,101.375
2000,3367,8500,84,169907,60,20,24,45,16,"16","424","754",11.0857142857143,"0","0","0","0","0","0","1","0","1","0","0","1",0,262.375
500,3241,5300,10,176797,3,0,0,3,0,"53","403","1234",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,136.375
2000,2471,6300,73,35887,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"29","236","387",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,96.875
500,2100,6100,70,215765,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","183","18",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,91.125
500,2268,8100,96,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","90","140",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,259.125
500,3171,7600,63,4538,7,2,2,2,1,"28","385","655",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,66.375
500,3101,4700,55,13632,1,0,0,1,0,"27","477","85",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,361.625
500,3220,4000,7,98168,0,0,0,0,0,"28","140","222",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,115.375
500,2093,7300,6,119498,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4","127","202",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,84.125
3000,2345,7600,51,384726,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"29","38","380",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,336.125
500,2765,6200,89,1564,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"85","300","644",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,25.625
500,3374,6000,42,55669,35,16,10,18,10,"5","12","1362",11.0857142857143,"2","0","0","0","0","0","1","0","0","0","0","0",0,269.375
3000,2849,9000,82,802286,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","48",11.0857142857143,"2","2","2","0","0","0","1","0","1","2","0","1",0,109.625
500,2772,4300,48,108948,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","251","672",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,32.625
3000,1421,8300,110,870647,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"6","32","40",11.0857142857143,"0","0","0","0","0","0","0","0","1","2","0","0",0,142.625
500,2302,5600,60,331563,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"31","64","360",11.0857142857143,"2","0","2","0","0","0","1","0","0","0","0","0",0,293.125
500,3234,6400,24,440417.6367713,27,3,3,6,0,"42","180","285",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,129.375
3000,1680,8400,144,1173440,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"13","23","30",11.0857142857143,"0","0","0","0","0","0","1","0","0","2","0","0",0,36.375
500,2807,6400,4,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"137","420","739",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,67.625
2000,1883,7800,43,697011,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","5","5",11.0857142857143,"2","2","2","2","0","0","1","0","0","0","0","0",0,239.375
2000,2065,7700,90,75621,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"7","135","217",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,56.125
3000,1778,8600,121,1399606,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","79","129",11.0857142857143,"0","0","0","0","0","0","1","0","0","2","0","0",0,134.375
2000,2618,8900,44,907439,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","77","127",11.0857142857143,"2","0","2","0","0","0","0","0","0","0","0","0",0,243.875
2000,2926,8600,95,395580,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"45","290","478",11.0857142857143,"0","0","0","0","0","0","0","0","1","0","0","0",0,186.625
500,1715,7900,72,58648,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","5","7",11.0857142857143,"2","2","2","0","0","0","1","0","0","0","0","0",0,71.375
500,1421,7500,87,1575180,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","10","19",11.0857142857143,"0","0","0","0","0","2","1","0","0","0","0","0",0,142.625
3000,2100,7300,49,788296,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","49",11.0857142857143,"2","2","2","0","0","0","1","0","0","2","0","0",0,91.125
500,2702,6400,26,150368,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","176","660",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,327.875
