"Outcome_M8","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_2","Cat_3","Cat_4","Cat_15","Quan_18","Cat_139","Cat_245","Cat_392","Cat_469","Cat_470","Cat_484","Cat_494","Cat_501"
500,2485,8300,76,538046,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","183","1",16,"0","0","0","2","0","0","0","0"
2000,2499,7600,50,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","132","446","2",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,1778,8000,66,1119115,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","8","11","2",11.0857142857143,"0","0","0","2","0","0","0","0"
500,2835,7600,81,58666,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"56","142","543","1",8,"0","0","0","0","0","0","0","0"
500,3360,6900,98,428382,58,29,13,38,26,"53","215","687","1",11.0857142857143,"0","0","0","0","0","0","1","0"
500,3248,6000,81,62984,9,1,3,7,0,"9","347","589","1",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2814,6900,112,414785,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"1","304","501","1",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2093,4700,10,42767,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4","12","248","3",11.0857142857143,"0","0","0","0","0","0","0","0"
500,1777,4800,10,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"14","25","33","2",11.0857142857143,"0","0","0","0","0","0","0","0"
500,1786,5100,78,508995,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","30","41","2",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3101,4300,53,1698,4,2,0,3,1,"109","304","909","2",11.0857142857143,"0","0","0","0","0","0","0","0"
500,1758,6500,54,37635,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"45","100","155","2",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2352,6900,45,216645,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","266","3",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2177,7000,58,670326,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","107","264","3",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2065,6100,42,77366,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"9","143","226","2",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,2478,8800,99,332670,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","33","384","14",11.0857142857143,"0","0","0","2","0","0","0","0"
500,2515,7100,35,149470,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","15","366","1",11.0857142857143,"0","0","0","0","0","0","0","0"
5000,1949,6400,96,746269,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","8","18","2",11.0857142857143,"0","0","2","2","0","0","0","0"
500,2492,4600,3,38595,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"12","244","395","3",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2898,7300,85,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","268","586","1",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,1918,6400,29,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","97","182","2",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2164,6800,21,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"43","77","329","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2856,5700,13,13798,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"121","140","222","1",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,3241,7600,55,440417.6367713,14,5,8,7,1,"17","32","1354","3",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3181,7100,58,327817,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","180","546","15",11.0857142857143,"0","0","0","2","0","0","0","0"
500,2653,8000,79,143718,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","141","572","1",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,1659,7900,61,652377,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","51","3",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,2434,7200,61,606019,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","268","431","2",11.0857142857143,"0","0","0","2","0","0","0","0"
500,3346,6900,39,73049,4,1,1,3,1,"16","304","1388","4",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,3243,6987.22826086957,1,224077,80,6,67,4,1,"59","357","1166","3",11.0857142857143,"0","0","0","0","0","0","1","0"
2000,2450,7200,105,856200,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"29","247","399","2",11.0857142857143,"0","0","0","2","0","0","1","0"
2000,2268,8200,101,743429,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","189","1",16,"0","0","0","2","0","0","1","0"
3000,2782,8400,63,1649272,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","39","3",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,2268,8200,50,743429,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","189","1",14,"0","0","0","2","0","0","1","0"
500,2723,7800,106,343410,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","238","389","2",11.0857142857143,"0","0","0","0","0","0","1","0"
3000,3172,8900,37,440417.6367713,12,5,5,5,4,"38","70","1168","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2884,6600,9,440417.6367713,1,0,0,1,0,"27","46","677","2",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3367,5500,52,440417.6367713,40,11,5,19,9,"42","138","1152","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,1904,7900,53,58806,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"45","101","158","3",11.0857142857143,"0","0","0","2","0","0","0","0"
500,2142,6500,79,529465,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"19","39","252","1",8,"0","0","0","0","0","0","0","0"
500,1890,6700,66,503559,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","29","37","1",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2085,6900,29,396498,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","160","251","2",11.0857142857143,"0","0","0","0","0","0","0","0"
5000,3192,8600,92,1172663,36,13,17,7,5,"17","32","48","3",11.0857142857143,"0","0","0","2","0","0","0","0"
2000,2023,8100,44,438659,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","51","3",11.0857142857143,"0","0","0","0","0","0","0","0"
3000,3206,7300,100,872255,76,33,26,37,24,"16","35","260","1",11.0857142857143,"0","0","0","2","0","0","0","0"
500,3367,8500,84,169907,60,20,24,45,16,"16","424","754","1",11.0857142857143,"0","0","0","0","0","0","1","0"
500,3241,5300,10,176797,3,0,0,3,0,"53","403","1234","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2471,6300,73,35887,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"29","236","387","2",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2100,6100,70,215765,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","183","18","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2268,8100,96,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","90","140","3",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3171,7600,63,4538,7,2,2,2,1,"28","385","655","2",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3101,4700,55,13632,1,0,0,1,0,"27","477","85","1",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3220,4000,7,98168,0,0,0,0,0,"28","140","222","1",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2093,7300,6,119498,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4","127","202","2",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2345,7600,51,384726,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"29","38","380","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2765,6200,89,1564,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"85","300","644","2",11.0857142857143,"0","2","0","0","0","0","0","0"
500,3374,6000,42,55669,35,16,10,18,10,"5","12","1362","3",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,2849,9000,82,802286,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","48","3",11.0857142857143,"0","0","0","2","0","0","1","0"
500,2772,4300,48,108948,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","251","672","2",11.0857142857143,"0","0","0","0","0","0","0","0"
3000,1421,8300,110,870647,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"6","32","40","2",11.0857142857143,"0","0","0","2","0","0","0","0"
500,2302,5600,60,331563,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"31","64","360","3",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3234,6400,24,440417.6367713,27,3,3,6,0,"42","180","285","2",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,1680,8400,144,1173440,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"13","23","30","1",11.0857142857143,"0","0","0","2","0","0","0","0"
500,2807,6400,4,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"137","420","739","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,1883,7800,43,697011,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","5","5","3",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,2065,7700,90,75621,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"7","135","217","2",11.0857142857143,"2","0","0","0","0","0","0","0"
5000,1778,8600,121,1399606,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","79","129","7",11.0857142857143,"0","0","0","2","0","0","0","0"
2000,2618,8900,44,907439,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","77","127","3",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,2926,8600,95,395580,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"45","290","478","7",11.0857142857143,"0","0","0","0","0","0","0","0"
500,1715,7900,72,58648,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","5","7","4",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,1421,7500,87,1575180,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","10","19","2",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,2100,7300,49,788296,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","49","3",11.0857142857143,"0","0","0","2","0","0","0","0"
500,2702,6400,26,150368,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","176","660","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2856,6987.22826086957,1,174848,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","176","323","3",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3346,6800,35,73049,4,1,1,4,1,"16","304","1388","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3241,6200,7,440417.6367713,3,0,1,0,0,"27","482","69","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2597,7800,77,466603,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"60","98","193","1",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2001,8000,67,275695,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"2","141","224","1",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,2064,8300,90,372875,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","82","311","2",11.0857142857143,"0","0","0","2","0","0","0","0"
500,2807,8600,96,248407,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"56","142","225","2",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,1458,8500,134,420774,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"52","106","172","1",11.0857142857143,"0","2","0","2","0","0","0","0"
500,2856,5000,71,50584,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"120","373","631","1",4,"0","0","0","0","0","0","0","0"
500,2226,7500,46,8412,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"9","213","348","2",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3229,5200,41,769,35,0,24,7,0,"27","50","1125","3",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3360,7800,76,14,11,5,3,7,2,"45","559","637","1",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3227,4400,5,334360,1,0,0,0,0,"53","129","1131","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3255,4400,12,25831,2,0,0,2,0,"14","484","377","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2891,2900,37,233505,0,0,0,0,0,"1","252","447","1",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,2079,7200,60,47363,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","5","7","4",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,2499,7700,88,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","132","446","2",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2607,7100,56,111812,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","333","559","1",11.0857142857143,"0","0","0","0","0","0","0","0"
500,3186,8300,64,14306,8,4,3,2,2,"56","142","1010","3",12,"0","0","0","0","0","0","0","0"
500,2121,5500,10,384334,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","176","277","3",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,3229,4200,37,440417.6367713,58,1,42,6,0,"28","627","1179","2",11.0857142857143,"0","0","0","2","0","0","0","0"
3000,3171,8800,68,16504,23,9,14,6,3,"17","32","52","4",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2065,7500,57,777132,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","187","295","2",8,"0","0","0","0","0","0","0","0"
500,3094,7700,88,440417.6367713,23,7,5,13,5,"5","232","305","2",11.0857142857143,"0","0","0","0","0","0","0","0"
500,2361,7900,37,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","198","3",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,2450,8300,53,503093,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"12","168","398","3",11.0857142857143,"0","0","0","0","0","0","0","0"
2000,2401,8400,95,336930,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"6","67","432","2",11.0857142857143,"0","0","0","2","0","0","1","0"
