"Outcome_M9","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Cat_4","Quan_18","Cat_349","Cat_359","Quant_24","Quant_25","Cat_469","Cat_470","Cat_494","Quan_27"
500,8300,76,538046,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114","183",16,"0","0",9,55.7813504823151,"2","0","0",0
3000,7600,50,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"132","446",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
2000,8000,66,1119115,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","11",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"2","0","0",0
500,7600,81,58666,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"142","543",8,"0","0",53.1466275659824,4,"0","0","0",0
2000,6900,98,428382,58,29,13,38,26,"215","687",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","1",0
500,6000,81,62984,9,1,3,7,0,"347","589",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,6900,112,414785,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"304","501",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,4700,10,42767,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"12","248",11.0857142857143,"0","0",30,30,"0","0","0",0
500,4800,10,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"25","33",11.0857142857143,"0","0",6,6,"0","0","0",0
500,5100,78,508995,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","41",11.0857142857143,"0","0",2,55.7813504823151,"0","0","0",0
2000,4300,53,1698,4,2,0,3,1,"304","909",11.0857142857143,"0","0",53.1466275659824,3,"0","0","0",0
500,6500,54,37635,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"100","155",11.0857142857143,"0","0",8,8,"0","0","0",0
2000,6900,45,216645,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","266",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,7000,58,670326,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"107","264",11.0857142857143,"0","0",8,8,"0","0","0",0
500,6100,42,77366,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"143","226",11.0857142857143,"0","0",33,33,"0","0","0",0
2000,8800,99,332670,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"33","384",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"2","0","0",0
500,7100,35,149470,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"15","366",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,6400,96,746269,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","18",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"2","0","0",0
500,4600,3,38595,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"244","395",11.0857142857143,"0","0",6,6,"0","0","0",0
500,7300,85,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"268","586",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
2000,6400,29,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"97","182",11.0857142857143,"0","0",12,12,"0","0","0",0
500,6800,21,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"77","329",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,5700,13,13798,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"140","222",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,7600,55,440417.6367713,14,5,8,7,1,"32","1354",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,7100,58,327817,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"180","546",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"2","0","0",0
2000,8000,79,143718,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"141","572",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
2000,7900,61,652377,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","51",11.0857142857143,"0","0",119,119,"0","0","0",0
500,7200,61,606019,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"268","431",11.0857142857143,"0","0",3,3,"2","0","0",0
500,6900,39,73049,4,1,1,3,1,"304","1388",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,6987.22826086957,1,224077,80,6,67,4,1,"357","1166",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","1",0
2000,7200,105,856200,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"247","399",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"2","0","1",0
6000,8200,101,743429,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114","189",16,"0","0",53.1466275659824,55.7813504823151,"2","0","1",0
2000,8400,63,1649272,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","39",11.0857142857143,"0","0",32,32,"0","0","0",0
3000,8200,50,743429,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114","189",14,"0","0",53.1466275659824,55.7813504823151,"2","0","1",0
2000,7800,106,343410,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"238","389",11.0857142857143,"0","0",53.1466275659824,4,"0","0","1",0
2000,8900,37,440417.6367713,12,5,5,5,4,"70","1168",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,6600,9,440417.6367713,1,0,0,1,0,"46","677",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,5500,52,440417.6367713,40,11,5,19,9,"138","1152",11.0857142857143,"0","0",6,6,"0","0","0",0
2000,7900,53,58806,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"101","158",11.0857142857143,"0","0",22,22,"2","0","0",0
500,6500,79,529465,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"39","252",8,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,6700,66,503559,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"29","37",11.0857142857143,"0","0",36,36,"0","0","0",0
500,6900,29,396498,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"160","251",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
3000,8600,92,1172663,36,13,17,7,5,"32","48",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"2","0","0",0
2000,8100,44,438659,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","51",11.0857142857143,"0","0",119,119,"0","0","0",0
3000,7300,100,872255,76,33,26,37,24,"35","260",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"2","0","0",0
500,8500,84,169907,60,20,24,45,16,"424","754",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","1",0
500,5300,10,176797,3,0,0,3,0,"403","1234",11.0857142857143,"0","0",13,13,"0","0","0",0
500,6300,73,35887,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"236","387",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,6100,70,215765,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"183","18",11.0857142857143,"0","0",14,14,"0","0","0",0
500,8100,96,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"90","140",11.0857142857143,"0","0",15,15,"0","0","0",0
500,7600,63,4538,7,2,2,2,1,"385","655",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,4700,55,13632,1,0,0,1,0,"477","85",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,4000,7,98168,0,0,0,0,0,"140","222",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,7300,6,119498,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"127","202",11.0857142857143,"0","0",33,33,"0","0","0",0
500,7600,51,384726,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"38","380",11.0857142857143,"0","0",60,60,"0","0","0",0
500,6200,89,1564,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"300","644",11.0857142857143,"0","0",22,22,"0","0","0",0
2000,6000,42,55669,35,16,10,18,10,"12","1362",11.0857142857143,"0","0",92,92,"0","0","0",0
6000,9000,82,802286,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32","48",11.0857142857143,"0","0",544,544,"2","0","1",0
500,4300,48,108948,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"251","672",11.0857142857143,"0","0",16,55.7813504823151,"0","0","0",0
3000,8300,110,870647,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32","40",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"2","0","0",0
3000,5600,60,331563,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"64","360",11.0857142857143,"0","0",81,81,"0","0","0",0
500,6400,24,440417.6367713,27,3,3,6,0,"180","285",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
2000,8400,144,1173440,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"23","30",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"2","0","0",0
500,6400,4,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"420","739",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,7800,43,697011,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","5",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,7700,90,75621,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"135","217",11.0857142857143,"0","0",5,55.7813504823151,"0","0","0",0
5000,8600,121,1399606,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"79","129",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"2","0","0",0
2000,8900,44,907439,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"77","127",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
2000,8600,95,395580,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"290","478",11.0857142857143,"0","0",53.1466275659824,55.7813504823151,"0","0","0",0
500,7900,72,58648,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","7",11.0857142857143,"0","0",109,109,"0","0","0",0
