"Outcome_M11","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Quan_16","Cat_110","Cat_245","Cat_349","Cat_400","Cat_403","Cat_467","Cat_469","Cat_470","Cat_494","Cat_498","Cat_501"
2000,8300,112,1995334,0,0,0,0,0,387,2,0,0,0,1,0,1,0,0,1,1,0
3000,8500,63,2053329,0,0,0,0,0,10,8,2,0,0,1,0,0,0,0,0,0,0
2000,6900,44,373675,6,1,4,1,1,38,0,2,0,0,0,0,0,0,0,0,0,0
500,7100,65,18386,0,0,0,0,0,275,8,0,0,0,0,0,1,0,0,0,0,0
500,4600,10,88573,0,0,0,0,0,194,14,0,0,0,0,0,0,0,0,0,0,0
500,5600,46,32724,6,2,2,2,2,368,2,0,0,0,1,0,0,0,0,0,0,0
2000,8200,33,0,3,1,1,2,1,663,4,0,0,0,1,0,0,0,0,0,0,0
500,6200,38,23149,0,0,0,0,0,48,0,2,0,0,0,0,0,0,0,0,0,0
500,5300,6,1275,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0
500,3900,22,396868,9,2,3,6,2,555,0,2,0,0,0,0,0,0,0,0,0,0
500,7300,82,1566700,0,0,0,0,0,30,2,0,0,0,1,0,0,0,0,0,0,0
500,5700,36,176114,0,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0
500,4200,36,561128,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0
5000,8000,91,883301,0,0,0,0,0,75,16,0,0,0,1,1,0,2,0,0,0,0
3000,8500,122,1178524,124,27,34,54,21,274,24,4,0,0,1,0,1,2,0,1,1,0
500,4300,22,0,0,0,0,0,0,115,2,0,0,0,0,0,0,2,0,0,0,0
500,7400,40,49009,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0
2000,6800,69,503559,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,0
500,5500,10,1275,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0
500,7700,103,90686,31,8,14,19,7,131,0,0,0,0,1,0,0,0,0,0,0,0
500,5400,23,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2000,8900,142,1394197,0,0,0,0,0,114,0,0,0,0,1,1,1,2,0,1,1,0
500,5200,21,308925,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0
500,6400,35,204611,0,0,0,0,0,64,2,0,0,0,0,0,0,0,0,0,0,0
500,6900,71,17619,0,0,0,0,0,407,0,0,0,0,1,0,0,0,0,0,0,0
500,8200,107,689611,0,0,0,0,0,11,4,2,0,0,1,1,0,2,0,1,0,0
500,6100,54,365492,26,5,17,9,4,114,8,0,0,0,1,0,0,0,0,0,0,0
2000,5600,91,761,0,0,0,0,0,268,16,2,0,0,1,0,0,0,0,0,0,0
500,5300,5,72774,2,1,0,2,1,392,0,0,0,0,0,0,0,0,0,0,0,0
500,7500,78,23013,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0
10000,9300,120,1808023,0,0,0,0,0,7,18,0,0,0,1,0,1,2,1,1,0,0
500,3800,57,0,36,7,5,9,3,147,0,2,0,0,1,0,0,0,0,0,0,0
500,7100,21,65693,69,17,34,55,13,4,2,0,0,0,0,0,0,0,0,0,0,0
500,5900,69,641442,17,2,8,10,2,114,16,0,0,0,0,0,1,0,0,0,0,0
500,7900,32,58648,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0
500,8000,74,682260,0,0,0,0,0,210,0,0,0,0,1,0,0,0,0,0,0,0
2000,7900,109,669770,0,0,0,0,0,362,4,2,0,0,1,0,1,2,0,1,1,0
500,6800,30,2727,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
