"Outcome_M5","Quan_2","Quan_3","Quan_4","Quan_5","Quan_10","Cat_3","Cat_4","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_349","Cat_388","Cat_466","Cat_469","Cat_470","Cat_484","Cat_498","Cat_501","Quan_27","Day_Of_Year_1"
3000,8300,112,1995334,0,0,387,657,0,0,0,0,0,0,0,0,0,0,0,1,0,0,116.625
8000,8500,63,2053329,0,0,10,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.875
2000,6900,44,373675,6,1,38,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.625
500,7100,65,18386,0,0,275,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.875
500,4600,10,88573,0,0,194,551,0,2,0,0,0,0,0,0,0,0,0,0,0,0,138.875
500,5600,46,32724,6,2,368,625,0,0,0,2,0,0,0,0,0,0,0,0,0,0,333.625
500,8200,33,0,3,2,663,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.375
500,6200,38,23149,0,0,48,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.875
2000,5300,6,1275,0,0,243,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.875
500,3900,22,396868,9,6,555,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.375
3000,7300,82,1566700,0,0,30,39,0,2,2,2,0,0,2,0,0,0,0,0,0,0,142.625
500,5700,36,176114,0,0,38,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.375
500,4200,36,561128,0,0,220,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.125
6000,8000,91,883301,0,0,75,413,16,0,0,0,0,0,0,0,2,0,0,0,0,0,110.875
3000,8500,122,1178524,124,54,274,444,0,0,0,0,0,0,0,0,2,0,0,1,0,0,234.375
500,4300,22,0,0,0,115,253,0,0,0,0,0,0,0,0,2,0,0,0,0,0,70.125
500,7400,40,49009,0,0,50,199,0,2,0,2,0,0,0,0,0,0,0,0,0,0,252.125
500,6800,69,503559,0,0,29,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.375
2000,5500,10,1275,0,0,243,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.875
2000,7700,103,90686,31,19,131,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.375
2000,5400,23,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.375
11000,8900,142,1394197,0,0,114,206,0,0,0,0,0,0,0,0,2,0,0,1,0,0,137.625
500,5200,21,308925,0,0,132,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.125
2000,6400,35,204611,0,0,64,96,0,0,0,2,0,0,0,0,0,0,0,0,0,0,102.875
500,6900,71,17619,0,0,407,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.625
5000,8200,107,689611,0,0,11,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,113.375
2000,6100,54,365492,26,9,114,1000,0,0,0,0,0,0,2,0,0,0,0,0,0,0,113.375
2000,5600,91,761,0,0,268,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.875
500,5300,5,72774,2,2,392,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.375
2000,7500,78,23013,0,0,3,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,269.625
45000,9300,120,1808023,0,0,7,11,24,0,0,0,0,0,0,0,2,1,0,0,0,0,125.125
500,3800,57,0,36,9,147,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.375
2000,7100,21,65693,69,55,4,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,248.375
3000,5900,69,641442,17,10,114,632,0,0,0,0,0,0,2,0,0,0,0,0,0,0,151.625
2000,7900,32,58648,0,0,5,7,0,2,2,2,0,0,0,0,0,0,0,0,0,0,133.375
2000,8000,74,682260,0,0,210,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.125
5000,7900,109,669770,0,0,362,30,0,0,0,0,0,0,0,0,2,0,0,1,0,0,87.375
2000,6800,30,2727,0,0,21,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.625
500,5800,61,575483,0,0,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.375
3000,8800,100,561962,0,0,28,36,0,0,0,0,0,0,0,0,2,0,0,0,0,0,247.625
2000,8100,60,412632,0,0,32,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,232.375
2000,8500,88,643979,0,0,20,87,8,0,0,0,0,0,0,0,2,0,0,0,0,0,91.125
3000,7600,40,1951543,0,0,30,39,0,2,2,2,2,0,2,0,0,0,0,0,0,0,134.375
2000,8100,127,29197,0,0,75,125,0,0,2,0,0,0,0,0,2,0,0,0,0,0,323.625
