"Outcome_M6","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_2","Cat_3","Cat_4","Cat_6","Quan_16","Quan_17","Quan_18","Cat_162","Cat_210","Cat_216","Cat_400","Cat_403","Cat_466","Cat_467","Cat_469","Cat_470","Cat_498","Quan_27","Day_Of_Year_1"
2000,8300,112,1995334,0,0,0,0,0,5,387,657,37,2,2,0,0,0,0,1,0,0,1,0,0,1,0,116.625
5000,8500,63,2053329,0,0,0,0,0,5,10,123,60,8,4,0,0,0,0,1,0,0,0,0,0,0,0,115.875
500,6900,44,373675,6,1,4,1,1,29,38,380,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,137.625
500,7100,65,18386,0,0,0,0,0,80,275,449,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,238.875
500,4600,10,88573,0,0,0,0,0,4,194,551,2,14,0,0,2,0,0,0,0,0,0,0,0,0,0,138.875
2000,5600,46,32724,6,2,2,2,2,109,368,625,22,2,2,0,0,0,2,1,0,0,0,0,0,0,0,333.625
500,8200,33,0,3,1,1,2,1,53,663,1359,51,4,4,0,0,0,0,1,0,0,0,0,0,0,0,220.375
500,6200,38,23149,0,0,0,0,0,26,48,66,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,358.875
2000,5300,6,1275,0,0,0,0,0,16,243,403,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,95.875
2000,3900,22,396868,9,2,3,6,2,197,555,1044,37,0,3,0,0,0,0,0,0,0,0,0,0,0,0,108.375
3000,7300,82,1566700,0,0,0,0,0,17,30,39,22,2,2,0,2,2,2,1,0,0,0,0,0,0,0,142.625
500,5700,36,176114,0,0,0,0,0,19,38,54,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,135.375
500,4200,36,561128,0,0,0,0,0,45,220,359,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.125
6000,8000,91,883301,0,0,0,0,0,6,75,413,17,16,0,16,0,0,0,1,1,0,0,2,0,0,0,110.875
2000,8500,122,1178524,124,27,34,54,21,42,274,444,2,24,2,0,0,0,0,1,0,0,1,2,0,1,0,234.375
500,4300,22,0,0,0,0,0,0,59,115,253,10,2,2,0,0,0,0,0,0,0,0,2,0,0,0,70.125
500,7400,40,49009,0,0,0,0,0,27,50,199,26,2,4,0,2,0,2,0,0,0,0,0,0,0,0,252.125
500,6800,69,503559,0,0,0,0,0,16,29,37,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,246.375
2000,5500,10,1275,0,0,0,0,0,16,243,403,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,109.875
2000,7700,103,90686,31,8,14,19,7,5,131,18,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66.375
500,5400,23,0,0,0,0,0,0,4,9,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.375
8000,8900,142,1394197,0,0,0,0,0,28,114,206,27,0,0,0,0,0,0,1,1,0,1,2,0,1,0,137.625
500,5200,21,308925,0,0,0,0,0,28,132,212,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.125
