"Outcome_M7","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_2","Cat_3","Cat_4","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_349","Cat_388","Cat_400","Cat_466","Cat_467","Cat_469","Cat_470","Cat_494","Quan_27","Day_Of_Year_1"
500,2856,8300,112,1995334,0,0,0,0,0,5,387,657,0,0,0,0,0,0,0,1,0,1,0,0,1,0,116.625
3000,2490,8500,63,2053329,0,0,0,0,0,5,10,123,0,0,0,0,0,0,0,1,0,0,0,0,0,0,115.875
500,2877,6900,44,373675,6,1,4,1,1,29,38,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.625
500,2613,7100,65,18386,0,0,0,0,0,80,275,449,0,0,0,0,0,0,0,0,0,1,0,0,0,0,238.875
500,2513,4600,10,88573,0,0,0,0,0,4,194,551,0,2,0,0,0,0,0,0,0,0,0,0,0,0,138.875
3000,3073,5600,46,32724,6,2,2,2,2,109,368,625,0,0,0,2,0,0,0,1,0,0,0,0,0,0,333.625
500,3325,8200,33,0,3,1,1,2,1,53,663,1359,0,0,0,0,0,0,0,1,0,0,0,0,0,0,220.375
2000,2733,6200,38,23149,0,0,0,0,0,26,48,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.875
2000,2470,5300,6,1275,0,0,0,0,0,16,243,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.875
500,3213,3900,22,396868,9,2,3,6,2,197,555,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.375
3000,1421,7300,82,1566700,0,0,0,0,0,17,30,39,0,2,2,2,0,0,2,1,0,0,0,0,0,0,142.625
500,1779,5700,36,176114,0,0,0,0,0,19,38,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,135.375
500,2313,4200,36,561128,0,0,0,0,0,45,220,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.125
8000,2485,8000,91,883301,0,0,0,0,0,6,75,413,16,0,0,0,0,0,0,1,0,0,2,0,0,0,110.875
2000,3339,8500,122,1178524,124,27,34,54,21,42,274,444,0,0,0,0,0,0,0,1,0,1,2,0,1,0,234.375
500,2079,4300,22,0,0,0,0,0,0,59,115,253,0,0,0,0,0,0,0,0,0,0,2,0,0,0,70.125
500,2261,7400,40,49009,0,0,0,0,0,27,50,199,0,2,0,2,0,0,0,0,0,0,0,0,0,0,252.125
500,1890,6800,69,503559,0,0,0,0,0,16,29,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.375
2000,2484,5500,10,1275,0,0,0,0,0,16,243,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.875
2000,3171,7700,103,90686,31,8,14,19,7,5,131,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66.375
