"Outcome_M8","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_2","Cat_3","Cat_4","Cat_15","Quan_18","Cat_139","Cat_245","Cat_392","Cat_469","Cat_470","Cat_484","Cat_494","Cat_498","Cat_501"
500,2856,8300,112,1995334,0,0,0,0,0,5,387,657,2,0,0,0,2,0,0,0,1,1,0
2000,2490,8500,63,2053329,0,0,0,0,0,5,10,123,12,0,0,0,0,0,0,0,0,0,0
3000,2877,6900,44,373675,6,1,4,1,1,29,38,380,4,0,0,0,0,0,0,0,0,0,0
500,2613,7100,65,18386,0,0,0,0,0,80,275,449,2,0,0,0,0,0,0,0,0,0,0
500,2513,4600,10,88573,0,0,0,0,0,4,194,551,4,0,0,0,0,0,0,0,0,0,0
2000,3073,5600,46,32724,6,2,2,2,2,109,368,625,3,0,0,0,0,0,0,0,0,0,0
500,3325,8200,33,0,3,1,1,2,1,53,663,1359,2,0,0,0,0,0,0,0,0,0,0
500,2733,6200,38,23149,0,0,0,0,0,26,48,66,2,0,0,0,0,0,0,0,0,0,0
500,2470,5300,6,1275,0,0,0,0,0,16,243,403,3,0,0,0,0,0,0,0,0,0,0
500,3213,3900,22,396868,9,2,3,6,2,197,555,1044,2,0,0,0,0,0,0,0,0,0,0
5000,1421,7300,82,1566700,0,0,0,0,0,17,30,39,3,0,0,0,0,0,0,0,0,0,0
500,1779,5700,36,176114,0,0,0,0,0,19,38,54,4,0,0,0,0,0,0,0,0,0,0
2000,2313,4200,36,561128,0,0,0,0,0,45,220,359,2,0,0,0,0,0,0,0,0,0,0
5000,2485,8000,91,883301,0,0,0,0,0,6,75,413,2,16,0,0,0,2,0,0,0,0,0
2000,3339,8500,122,1178524,124,27,34,54,21,42,274,444,7,0,0,0,0,2,0,0,1,1,0
500,2079,4300,22,0,0,0,0,0,0,59,115,253,1,0,0,0,0,2,0,0,0,0,0
500,2261,7400,40,49009,0,0,0,0,0,27,50,199,3,0,0,0,0,0,0,0,0,0,0
500,1890,6800,69,503559,0,0,0,0,0,16,29,37,1,0,0,0,0,0,0,0,0,0,0
500,2484,5500,10,1275,0,0,0,0,0,16,243,403,3,0,0,0,0,0,0,0,0,0,0
2000,3171,7700,103,90686,31,8,14,19,7,5,131,18,2,0,0,0,0,0,0,0,0,0,0
500,1778,5400,23,0,0,0,0,0,0,4,9,12,2,0,0,0,0,0,0,0,0,0,0
3000,2877,8900,142,1394197,0,0,0,0,0,28,114,206,7,0,0,0,0,2,0,0,1,1,0
500,2142,5200,21,308925,0,0,0,0,0,28,132,212,1,0,0,0,0,0,0,0,0,0,0
500,2477,6400,35,204611,0,0,0,0,0,31,64,96,1,0,0,0,0,0,0,0,0,0,0
500,2842,6900,71,17619,0,0,0,0,0,9,407,712,2,0,0,0,0,0,0,0,0,0,0
2000,1757,8200,107,689611,0,0,0,0,0,5,11,14,2,0,0,0,0,2,0,0,1,0,0
500,3218,6100,54,365492,26,5,17,9,4,28,114,1000,2,0,0,0,0,0,0,0,0,0,0
500,2569,5600,91,761,0,0,0,0,0,16,268,443,2,0,0,0,0,0,0,0,0,0,0
