"Outcome_M2","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_4","Quan_16","Quan_18","Cat_110","Cat_349","Cat_404","Cat_466","Cat_467","Cat_469","Cat_484","Cat_494","Cat_498"
3000,8300,76,538046,0,0,0,0,0,"183",16,16,"0","0","0","0","1","2","0","0","0"
8000,7600,50,557614,0,0,0,0,0,"446",4,0,"0","0","0","0","0","0","0","0","0"
15000,8000,66,1119115,0,0,0,0,0,"11",16,0,"0","0","0","0","0","2","0","0","0"
2000,7600,81,58666,0,0,0,0,0,"543",8,8,"2","0","0","0","0","0","0","0","0"
6000,6900,98,428382,58,29,13,38,26,"687",32,0,"0","0","0","0","1","0","0","1","0"
3000,6000,81,62984,9,1,3,7,0,"589",0,0,"0","0","0","0","0","0","0","0","0"
2000,6900,112,414785,0,0,0,0,0,"501",0,0,"0","0","0","0","0","0","0","0","0"
500,4700,10,42767,0,0,0,0,0,"248",0,0,"0","0","0","0","0","0","0","0","0"
500,4800,10,0,0,0,0,0,0,"33",16,0,"0","0","0","0","0","0","0","0","0"
10000,5100,78,508995,0,0,0,0,0,"41",0,0,"0","0","0","0","0","0","0","0","0"
3000,4300,53,1698,4,2,0,3,1,"909",4,0,"3","0","0","0","0","0","0","0","0"
2000,6500,54,37635,0,0,0,0,0,"155",6,0,"2","0","0","0","0","0","0","0","0"
2000,6900,45,216645,0,0,0,0,0,"266",14,0,"0","0","0","0","0","0","0","0","0"
6000,7000,58,670326,0,0,0,0,0,"264",6,0,"0","0","0","0","0","0","0","0","0"
2000,6100,42,77366,0,0,0,0,0,"226",0,0,"2","0","0","0","0","0","0","0","0"
6000,8800,99,332670,0,0,0,0,0,"384",0,0,"0","0","0","0","0","2","0","0","0"
500,7100,35,149470,0,0,0,0,0,"366",0,0,"0","0","0","0","0","0","0","0","0"
5000,6400,96,746269,0,0,0,0,0,"18",0,0,"0","0","0","0","0","2","0","0","0"
500,4600,3,38595,0,0,0,0,0,"395",0,0,"0","0","0","0","0","0","0","0","0"
2000,7300,85,0,0,0,0,0,0,"586",0,0,"0","0","0","0","0","0","0","0","0"
500,6400,29,0,0,0,0,0,0,"182",2,0,"0","0","0","0","0","0","0","0","0"
2000,6800,21,0,0,0,0,0,0,"329",0,0,"0","0","0","0","0","0","0","0","0"
500,5700,13,13798,0,0,0,0,0,"222",0,0,"0","0","0","0","0","0","0","0","0"
11000,7600,55,0,14,5,8,7,1,"1354",4,0,"0","0","0","0","0","0","0","0","0"
2000,7100,58,327817,0,0,0,0,0,"546",0,0,"0","0","0","0","0","2","0","0","0"
2000,8000,79,143718,0,0,0,0,0,"572",12,0,"0","0","0","0","1","0","0","0","0"
11000,7900,61,652377,0,0,0,0,0,"51",2,0,"0","0","0","0","0","0","0","0","0"
2000,7200,61,606019,0,0,0,0,0,"431",2,0,"2","0","0","0","0","2","0","0","0"
500,6900,39,73049,4,1,1,3,1,"1388",0,0,"0","0","0","0","0","0","0","0","0"
6000,0,1,224077,80,6,67,4,1,"1166",8,0,"3","0","0","0","0","0","0","1","0"
15000,7200,105,856200,0,0,0,0,0,"399",0,0,"0","0","0","0","1","2","0","1","0"
18000,8200,101,743429,0,0,0,0,0,"189",16,16,"2","0","0","0","1","2","0","1","0"
40000,8400,63,1649272,0,0,0,0,0,"39",2,0,"0","0","0","0","0","0","0","0","0"
6000,8200,50,743429,0,0,0,0,0,"189",14,14,"2","0","0","0","1","2","0","1","0"
5000,7800,106,343410,0,0,0,0,0,"389",4,0,"0","0","0","0","1","0","0","1","0"
3000,8900,37,0,12,5,5,5,4,"1168",0,0,"3","0","0","0","0","0","0","0","0"
500,6600,9,0,1,0,0,1,0,"677",8,0,"0","0","0","0","0","0","0","0","0"
2000,5500,52,0,40,11,5,19,9,"1152",0,0,"2","0","0","0","0","0","0","0","0"
2000,7900,53,58806,0,0,0,0,0,"158",0,0,"0","0","0","0","0","2","0","0","0"
19000,6500,79,529465,0,0,0,0,0,"252",8,8,"2","0","0","0","0","0","0","0","0"
2000,6700,66,503559,0,0,0,0,0,"37",2,0,"0","0","0","0","0","0","0","0","0"
2000,6900,29,396498,0,0,0,0,0,"251",8,0,"0","0","0","0","0","0","0","0","0"
15000,8600,92,1172663,36,13,17,7,5,"48",22,0,"0","0","0","0","1","2","0","0","0"
10000,8100,44,438659,0,0,0,0,0,"51",2,0,"0","0","0","0","0","0","0","0","0"
29000,7300,100,872255,76,33,26,37,24,"260",24,0,"0","0","0","0","1","2","0","0","0"
13000,8500,84,169907,60,20,24,45,16,"754",12,0,"0","0","0","0","1","0","0","1","1"
500,5300,10,176797,3,0,0,3,0,"1234",0,0,"4","0","0","0","0","0","0","0","0"
500,6300,73,35887,0,0,0,0,0,"387",12,0,"0","0","0","0","0","0","0","0","0"
2000,6100,70,215765,0,0,0,0,0,"18",0,0,"2","0","0","0","0","0","0","0","0"
2000,8100,96,0,0,0,0,0,0,"140",50,0,"0","0","0","0","0","0","0","0","0"
500,7600,63,4538,7,2,2,2,1,"655",4,0,"3","0","0","0","0","0","0","0","0"
2000,4700,55,13632,1,0,0,1,0,"85",2,0,"3","0","0","0","0","0","0","0","0"
2000,4000,7,98168,0,0,0,0,0,"222",0,0,"0","0","0","0","0","0","0","0","0"
500,7300,6,119498,0,0,0,0,0,"202",14,0,"0","0","0","0","0","0","0","0","0"
2000,7600,51,384726,0,0,0,0,0,"380",0,0,"2","0","0","0","0","0","0","0","0"
500,6200,89,1564,0,0,0,0,0,"644",8,0,"0","0","0","0","0","0","0","0","0"
