"Outcome_M4","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Cat_4","Quan_17","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_466","Cat_467","Cat_469","Cat_470","Cat_484","Cat_495","Cat_498","Quan_27","Day_Of_Year_1"
3000,8300,76,538046,0,0,0,0,0,"114","183",0,16,"0","0","0","0","0","1","2","0","0","0","0",0,110.875
3000,7600,50,557614,0,0,0,0,0,"132","446",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,124.875
3000,8000,66,1119115,0,0,0,0,0,"8","11",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,134.375
500,7600,81,58666,0,0,0,0,0,"142","543",0,8,"0","0","0","0","0","0","0","0","0","0","0",0,95.625
2000,6900,98,428382,58,29,13,38,26,"215","687",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,255.375
500,6000,81,62984,9,1,3,7,0,"347","589",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,143.375
2000,6900,112,414785,0,0,0,0,0,"304","501",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,74.625
500,4700,10,42767,0,0,0,0,0,"12","248",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,84.125
500,4800,10,0,0,0,0,0,0,"25","33",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,133.375
2000,5100,78,508995,0,0,0,0,0,"30","41",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,142.375
2000,4300,53,1698,4,2,0,3,1,"304","909",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,361.625
2000,6500,54,37635,0,0,0,0,0,"100","155",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,114.375
2000,6900,45,216645,0,0,0,0,0,"30","266",0,0,"2","2","0","0","0","0","0","0","0","0","0",0,343.125
2000,7000,58,670326,0,0,0,0,0,"107","264",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,168.125
500,6100,42,77366,0,0,0,0,0,"143","226",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,56.125
2000,8800,99,332670,0,0,0,0,0,"33","384",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,103.875
500,7100,35,149470,0,0,0,0,0,"15","366",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,140.875
500,6400,96,746269,0,0,0,0,0,"8","18",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,305.375
