"Outcome_M7","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_2","Cat_3","Cat_4","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_349","Cat_388","Cat_400","Cat_466","Cat_467","Cat_469","Cat_470","Cat_494","Quan_27","Day_Of_Year_1"
2000,2485,8300,76,538046,0,0,0,0,0,"28","114","183",16,"0","0","0","0","0","0","1","0","1","2","0","0",0,110.875
2000,2499,7600,50,557614,0,0,0,0,0,"28","132","446",0,"0","0","0","0","0","2","1","0","0","0","0","0",0,124.875
2000,1778,8000,66,1119115,0,0,0,0,0,"5","8","11",0,"0","0","0","0","0","0","0","0","0","2","0","0",0,134.375
500,2835,7600,81,58666,0,0,0,0,0,"56","142","543",8,"0","0","0","0","0","0","1","0","0","0","0","0",0,95.625
500,3360,6900,98,428382,58,29,13,38,26,"53","215","687",0,"0","0","0","0","0","0","1","0","1","0","0","1",0,255.375
500,3248,6000,81,62984,9,1,3,7,0,"9","347","589",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,143.375
500,2814,6900,112,414785,0,0,0,0,0,"1","304","501",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,74.625
500,2093,4700,10,42767,0,0,0,0,0,"4","12","248",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,84.125
500,1777,4800,10,0,0,0,0,0,0,"14","25","33",0,"0","0","0","0","0","2","0","0","0","0","0","0",0,133.375
500,1786,5100,78,508995,0,0,0,0,0,"16","30","41",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,142.375
2000,3101,4300,53,1698,4,2,0,3,1,"109","304","909",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,361.625
500,1758,6500,54,37635,0,0,0,0,0,"45","100","155",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,114.375
3000,2352,6900,45,216645,0,0,0,0,0,"17","30","266",0,"2","2","0","0","0","0","1","0","0","0","0","0",0,343.125
2000,2177,7000,58,670326,0,0,0,0,0,"53","107","264",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,168.125
500,2065,6100,42,77366,0,0,0,0,0,"9","143","226",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,56.125
2000,2478,8800,99,332670,0,0,0,0,0,"16","33","384",0,"0","0","0","0","0","0","1","0","0","2","0","0",0,103.875
500,2515,7100,35,149470,0,0,0,0,0,"8","15","366",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,140.875
3000,1949,6400,96,746269,0,0,0,0,0,"5","8","18",0,"0","0","0","0","0","0","1","0","0","2","0","0",0,305.375
2000,2492,4600,3,38595,0,0,0,0,0,"12","244","395",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,117.875
500,2898,7300,85,0,0,0,0,0,0,"16","268","586",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,158.625
500,1918,6400,29,0,0,0,0,0,0,"28","97","182",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,274.375
2000,2164,6800,21,0,0,0,0,0,0,"43","77","329",0,"0","0","2","0","0","0","1","0","0","0","0","0",0,155.125
500,2856,5700,13,13798,0,0,0,0,0,"121","140","222",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,116.625
2000,3241,7600,55,0,14,5,8,7,1,"17","32","1354",0,"2","2","2","0","0","0","0","0","0","0","0","0",0,136.375
500,3181,7100,58,327817,0,0,0,0,0,"42","180","546",0,"0","0","0","0","0","0","1","0","0","2","0","0",0,76.375
500,2653,8000,79,143718,0,0,0,0,0,"8","141","572",0,"0","0","0","0","0","0","1","0","1","0","0","0",0,278.875
3000,1659,7900,61,652377,0,0,0,0,0,"17","30","51",0,"2","2","2","0","0","0","1","0","0","0","0","0",0,15.375
2000,2434,7200,61,606019,0,0,0,0,0,"16","268","431",0,"0","0","0","0","0","0","1","0","0","2","0","0",0,59.875
500,3346,6900,39,73049,4,1,1,3,1,"16","304","1388",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,241.375
2000,3243,0,1,224077,80,6,67,4,1,"59","357","1166",0,"2","0","0","0","0","0","0","0","0","0","0","1",0,138.375
2000,2450,7200,105,856200,0,0,0,0,0,"29","247","399",0,"0","0","0","0","0","0","1","0","1","2","0","1",0,75.875
2000,2268,8200,101,743429,0,0,0,0,0,"28","114","189",16,"0","0","0","0","0","2","1","0","1","2","0","1",0,259.125
10000,2782,8400,63,1649272,0,0,0,0,0,"17","30","39",0,"2","2","2","2","0","2","1","0","0","0","0","0",0,42.625
2000,2268,8200,50,743429,0,0,0,0,0,"28","114","189",14,"0","0","0","0","0","2","0","0","1","2","0","1",0,259.125
3000,2723,7800,106,343410,0,0,0,0,0,"8","238","389",0,"0","0","0","0","0","0","1","0","1","0","0","1",0,348.875
3000,3172,8900,37,0,12,5,5,5,4,"38","70","1168",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,67.375
500,2884,6600,9,0,1,0,0,1,0,"27","46","677",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,144.625
2000,3367,5500,52,0,40,11,5,19,9,"42","138","1152",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,262.375
500,1904,7900,53,58806,0,0,0,0,0,"45","101","158",0,"2","0","0","0","0","0","0","0","0","2","0","0",0,260.375
500,2142,6500,79,529465,0,0,0,0,0,"19","39","252",8,"0","0","0","0","0","0","1","0","0","0","0","0",0,133.125
500,1890,6700,66,503559,0,0,0,0,0,"16","29","37",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,246.375
2000,2085,6900,29,396498,0,0,0,0,0,"53","160","251",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,76.125
5000,3192,8600,92,1172663,36,13,17,7,5,"17","32","48",0,"2","2","2","0","0","0","1","0","1","2","0","0",0,87.375
3000,2023,8100,44,438659,0,0,0,0,0,"17","30","51",0,"2","2","2","0","0","0","0","0","0","0","0","0",0,14.125
