"Outcome_M10","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_494_0","Cat_494_1","Cat_349_0","Cat_349_2","Cat_498_0","Cat_498_1","Cat_220_0","Cat_220_2"
500,8300,76,538046,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7600,50,557614,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8000,66,1119115,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7600,81,58666,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6900,98,428382,58,29,13,58,58,38,26,38,38,0,1,1,0,1,0,1,0
500,6000,81,62984,9,1,3,9,9,7,0,7,7,1,0,1,0,1,0,1,0
500,6900,112,414785,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4700,10,42767,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4800,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5100,78,508995,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,4300,53,1698,4,2,0,4,4,3,1,3,3,1,0,1,0,1,0,1,0
500,6500,54,37635,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6900,45,216645,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7000,58,670326,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6100,42,77366,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8800,99,332670,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7100,35,149470,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6400,96,746269,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4600,3,38595,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7300,85,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6400,29,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6800,21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5700,13,13798,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7600,55,0,14,5,8,14,14,7,1,7,7,1,0,1,0,1,0,1,0
500,7100,58,327817,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8000,79,143718,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7900,61,652377,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7200,61,606019,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6900,39,73049,4,1,1,4,4,3,1,3,3,1,0,1,0,1,0,1,0
500,0,1,224077,80,6,67,80,80,4,1,4,4,0,1,1,0,1,0,1,0
3000,7200,105,856200,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
5000,8200,101,743429,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,8400,63,1649272,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
3000,8200,50,743429,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,7800,106,343410,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,8900,37,0,12,5,5,12,12,5,4,5,5,1,0,1,0,1,0,1,0
500,6600,9,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0
2000,5500,52,0,40,11,5,40,40,19,9,19,19,1,0,1,0,1,0,1,0
3000,7900,53,58806,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6500,79,529465,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6700,66,503559,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6900,29,396498,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
5000,8600,92,1172663,36,13,17,36,36,7,5,7,7,1,0,1,0,1,0,1,0
500,8100,44,438659,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7300,100,872255,76,33,26,76,76,37,24,37,37,1,0,1,0,1,0,1,0
2000,8500,84,169907,60,20,24,60,60,45,16,45,45,0,1,1,0,0,1,1,0
500,5300,10,176797,3,0,0,3,3,3,0,3,3,1,0,1,0,1,0,1,0
500,6300,73,35887,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6100,70,215765,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8100,96,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7600,63,4538,7,2,2,7,7,2,1,2,2,1,0,1,0,1,0,1,0
500,4700,55,13632,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0
500,4000,7,98168,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7300,6,119498,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7600,51,384726,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6200,89,1564,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6000,42,55669,35,16,10,35,35,18,10,18,18,1,0,1,0,1,0,1,0
5000,9000,82,802286,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,4300,48,108948,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8300,110,870647,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,5600,60,331563,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6400,24,0,27,3,3,27,27,6,0,6,6,1,0,1,0,1,0,1,0
3000,8400,144,1173440,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6400,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7800,43,697011,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
500,7700,90,75621,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
5000,8600,121,1399606,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,8900,44,907439,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8600,95,395580,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7900,72,58648,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7500,87,1575180,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7300,49,788296,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6400,26,150368,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,0,1,174848,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6800,35,73049,4,1,1,4,4,4,1,4,4,1,0,1,0,1,0,1,0
500,6200,7,0,3,0,1,3,3,0,0,0,0,1,0,1,0,1,0,1,0
2000,7800,77,466603,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8000,67,275695,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8300,90,372875,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8600,96,248407,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8500,134,420774,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5000,71,50584,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7500,46,8412,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5200,41,769,35,0,24,35,35,7,0,7,7,1,0,1,0,1,0,1,0
500,7800,76,14,11,5,3,11,11,7,2,7,7,1,0,1,0,1,0,1,0
500,4400,5,334360,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0
500,4400,12,25831,2,0,0,2,2,2,0,2,2,1,0,1,0,1,0,1,0
500,2900,37,233505,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7200,60,47363,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7700,88,557614,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7100,56,111812,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8300,64,14306,8,4,3,8,8,2,2,2,2,1,0,1,0,1,0,1,0
500,5500,10,384334,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,4200,37,0,58,1,42,58,58,6,0,6,6,1,0,1,0,1,0,1,0
2000,8800,68,16504,23,9,14,23,23,6,3,6,6,1,0,1,0,1,0,1,0
2000,7500,57,777132,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7700,88,0,23,7,5,23,23,13,5,13,13,1,0,1,0,1,0,1,0
500,7900,37,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8300,53,503093,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
5000,8400,95,336930,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,7600,84,820707,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4300,18,0,5,1,2,5,5,2,0,2,2,1,0,1,0,1,0,1,0
500,7800,84,1879,9,4,3,9,9,6,3,6,6,0,1,1,0,1,0,1,0
5000,8800,110,527439,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,5700,8,227165,9,1,6,9,9,2,0,2,2,1,0,1,0,1,0,1,0
500,6300,53,241413,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7500,98,850888,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
2000,8400,113,538046,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,6800,46,75598,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,3800,39,450556,11,1,2,11,11,11,1,11,11,1,0,1,0,1,0,1,0
500,7400,109,250974,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,7500,82,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7200,127,941734,25,7,11,25,25,10,4,10,10,1,0,1,0,1,0,1,0
2000,7900,75,208574,27,6,14,27,27,12,6,12,12,1,0,1,0,1,0,1,0
2000,7700,70,155555,2,0,2,2,2,0,0,0,0,1,0,1,0,1,0,1,0
500,7200,80,242444,6,0,2,6,6,2,0,2,2,1,0,1,0,1,0,1,0
500,8500,58,1238684,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2000,8600,129,780782,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,5500,68,761,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6300,10,221857,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7700,27,466940,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
10000,9300,114,3220430,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
500,8000,30,539483,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,7200,101,324749,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6700,62,570116,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8800,125,348241,85,25,42,85,85,39,20,39,39,0,1,1,0,1,0,1,0
500,8600,34,15804,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
500,6300,12,97941,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6100,98,641442,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8000,43,1164838,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7200,55,495179,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7900,44,11049,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5700,12,407303,19,3,9,19,19,8,2,8,8,1,0,1,0,1,0,1,0
500,6400,10,190084,2,1,0,2,2,2,1,2,2,1,0,1,0,1,0,1,0
2000,7600,87,371070,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6900,22,416229,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6900,68,664806,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7900,67,90029,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
500,7000,45,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
500,6700,56,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5600,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4300,11,88573,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6100,81,779035,51,26,11,51,51,25,18,25,25,0,1,1,0,0,1,1,0
500,7200,33,49009,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,3100,5,47068,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8000,47,139621,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7300,40,304225,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,8900,53,676207,32,4,10,32,32,10,3,10,10,1,0,1,0,1,0,1,0
500,7700,49,253625,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6000,65,48178,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7900,76,145077,64,4,48,64,64,44,3,44,44,1,0,1,0,1,0,0,1
500,3600,33,76996,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,9100,131,582649,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,3600,8,334360,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0
5000,7600,52,257699,38,12,4,38,38,28,10,28,28,1,0,1,0,1,0,1,0
500,8500,47,0,2,1,0,2,2,1,1,1,1,1,0,1,0,1,0,1,0
