"","Outcome_M1","Outcome_M2","Outcome_M3","Outcome_M4","Outcome_M5","Outcome_M6","Outcome_M7","Outcome_M8","Outcome_M9","Outcome_M10","Outcome_M11","Outcome_M12","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_8","Quan_9","Cat_467","Cat_469","Cat_470","Cat_494","Cat_501","Quan_27","Cat_513","Quan_10","Quan_11","Quan_13","Quan_14","Quan_16","Cat_110","Cat_349","Cat_403","Cat_498","Quan_7","Cat_220","Cat_4","Quan_18","Cat_359","Cat_388","Quant_24","Quant_25","Date_1","Cat_2","Cat_3","Cat_15","Cat_139","Cat_245","Cat_392","Cat_484","Cat_162","Cat_210","Cat_216","Cat_400","Cat_466","Day_Of_Year_1","Cat_6","Quan_17","Cat_404","Quan_28"
"1",10000,3000,8000,3000,3000,2000,2000,500,500,500,500,500,8300,76,538046,0,0,0,0,"1","2","0","0","0",0,"0",0,0,0,0,16,"0","0","0","0",0,"0","183",16,"0","0",9,0,2485,"28","114","1","0","0","0","0","0","0","0","1","0",110.875,"2",0,"0",0
"2",8000,8000,2000,3000,2000,500,2000,2000,3000,500,500,500,7600,50,557614,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,4,"0","0","0","0",0,"0","446",0,"0","2",0,0,2499,"28","132","2","0","0","0","0","0","0","0","1","0",124.875,"23",0,"0",0
"3",5000,15000,8000,3000,3000,2000,2000,2000,2000,500,500,500,8000,66,1119115,0,0,0,0,"0","2","0","0","0",0,"0",0,0,0,0,16,"0","0","0","0",0,"0","11",0,"0","0",0,0,1778,"5","8","2","0","0","0","0","0","0","0","0","0",134.375,"2",0,"0",0
"4",16000,2000,2000,500,500,500,500,500,500,500,500,500,7600,81,58666,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,8,"2","0","0","0",0,"0","543",8,"0","0",0,4,2835,"56","142","1","0","0","0","0","0","0","0","1","0",95.625,"2",0,"0",0
"5",32000,6000,2000,2000,2000,500,500,500,2000,2000,500,500,6900,98,428382,58,29,58,58,"1","0","0","1","0",0,"0",38,26,38,38,32,"0","0","0","0",13,"0","687",0,"0","0",0,0,3360,"53","215","1","0","0","0","0","0","0","0","1","0",255.375,"2",0,"0",0
"6",2000,3000,500,500,500,500,500,500,500,500,500,500,6000,81,62984,9,1,9,9,"0","0","0","0","0",0,"0",7,0,7,7,0,"0","0","0","0",3,"0","589",0,"0","0",0,0,3248,"9","347","1","0","0","0","0","0","0","0","1","0",143.375,"10",0,"0",0
"7",5000,2000,500,2000,2000,500,500,500,500,500,500,500,6900,112,414785,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","501",0,"0","0",0,0,2814,"1","304","1","0","0","0","0","0","0","0","0","0",74.625,"10",0,"0",0
"8",2000,500,500,500,500,500,500,500,500,500,500,500,4700,10,42767,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","248",0,"0","0",30,30,2093,"4","12","3","0","0","0","0","0","0","0","0","0",84.125,"17",2,"0",0
"9",2000,500,500,500,500,500,500,500,500,500,500,500,4800,10,0,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,16,"0","0","0","0",0,"0","33",0,"0","2",6,6,1777,"14","25","2","0","0","0","0","0","0","0","0","0",133.375,"19",0,"0",0
"10",6000,10000,2000,2000,2000,500,500,500,500,500,500,500,5100,78,508995,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","41",0,"0","0",2,0,1786,"16","30","2","0","0","0","0","0","0","0","0","0",142.375,"11",0,"0",0
