"Outcome_M8","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_2","Cat_3","Cat_4","Cat_15","Quan_18","Cat_139","Cat_245","Cat_392","Cat_469","Cat_470","Cat_484","Cat_494","Cat_501","Cat_513"
500,2485,8300,76,538046,0,0,0,0,0,0,0,0,0,"28","114","183","1",16,"0","0","0","2","0","0","0","0","0"
2000,2499,7600,50,557614,0,0,0,0,0,0,0,0,0,"28","132","446","2",0,"0","0","0","0","0","0","0","0","0"
2000,1778,8000,66,1119115,0,0,0,0,0,0,0,0,0,"5","8","11","2",0,"0","0","0","2","0","0","0","0","0"
500,2835,7600,81,58666,0,0,0,0,0,0,0,0,0,"56","142","543","1",8,"0","0","0","0","0","0","0","0","0"
500,3360,6900,98,428382,58,29,13,58,58,38,26,38,38,"53","215","687","1",0,"0","0","0","0","0","0","1","0","0"
500,3248,6000,81,62984,9,1,3,9,9,7,0,7,7,"9","347","589","1",0,"0","0","0","0","0","0","0","0","0"
500,2814,6900,112,414785,0,0,0,0,0,0,0,0,0,"1","304","501","1",0,"0","0","0","0","0","0","0","0","0"
500,2093,4700,10,42767,0,0,0,0,0,0,0,0,0,"4","12","248","3",0,"0","0","0","0","0","0","0","0","0"
500,1777,4800,10,0,0,0,0,0,0,0,0,0,0,"14","25","33","2",0,"0","0","0","0","0","0","0","0","0"
500,1786,5100,78,508995,0,0,0,0,0,0,0,0,0,"16","30","41","2",0,"0","0","0","0","0","0","0","0","0"
500,3101,4300,53,1698,4,2,0,4,4,3,1,3,3,"109","304","909","2",0,"0","0","0","0","0","0","0","0","0"
500,1758,6500,54,37635,0,0,0,0,0,0,0,0,0,"45","100","155","2",0,"0","0","0","0","0","0","0","0","0"
500,2352,6900,45,216645,0,0,0,0,0,0,0,0,0,"17","30","266","3",0,"0","0","0","0","0","0","0","0","0"
500,2177,7000,58,670326,0,0,0,0,0,0,0,0,0,"53","107","264","3",0,"0","0","0","0","0","0","0","0","0"
500,2065,6100,42,77366,0,0,0,0,0,0,0,0,0,"9","143","226","2",0,"0","0","0","0","0","0","0","0","0"
2000,2478,8800,99,332670,0,0,0,0,0,0,0,0,0,"16","33","384","14",0,"0","0","0","2","0","0","0","0","0"
500,2515,7100,35,149470,0,0,0,0,0,0,0,0,0,"8","15","366","1",0,"0","0","0","0","0","0","0","0","0"
5000,1949,6400,96,746269,0,0,0,0,0,0,0,0,0,"5","8","18","2",0,"0","0","2","2","0","0","0","0","0"
500,2492,4600,3,38595,0,0,0,0,0,0,0,0,0,"12","244","395","3",0,"0","0","0","0","0","0","0","0","0"
500,2898,7300,85,0,0,0,0,0,0,0,0,0,0,"16","268","586","1",0,"0","0","0","0","0","0","0","0","0"
2000,1918,6400,29,0,0,0,0,0,0,0,0,0,0,"28","97","182","2",0,"0","0","0","0","0","0","0","0","0"
500,2164,6800,21,0,0,0,0,0,0,0,0,0,0,"43","77","329","4",0,"0","0","0","0","0","0","0","0","0"
500,2856,5700,13,13798,0,0,0,0,0,0,0,0,0,"121","140","222","1",0,"0","0","0","0","0","0","0","0","0"
2000,3241,7600,55,0,14,5,8,14,14,7,1,7,7,"17","32","1354","3",0,"0","0","0","0","0","0","0","0","0"
500,3181,7100,58,327817,0,0,0,0,0,0,0,0,0,"42","180","546","15",0,"0","0","0","2","0","0","0","0","0"
500,2653,8000,79,143718,0,0,0,0,0,0,0,0,0,"8","141","572","1",0,"0","0","0","0","0","0","0","0","0"
2000,1659,7900,61,652377,0,0,0,0,0,0,0,0,0,"17","30","51","3",0,"0","0","0","0","0","0","0","0","0"
2000,2434,7200,61,606019,0,0,0,0,0,0,0,0,0,"16","268","431","2",0,"0","0","0","2","0","0","0","0","0"
500,3346,6900,39,73049,4,1,1,4,4,3,1,3,3,"16","304","1388","4",0,"0","0","0","0","0","0","0","0","0"
2000,3243,0,1,224077,80,6,67,80,80,4,1,4,4,"59","357","1166","3",0,"0","0","0","0","0","0","1","0","0"
2000,2450,7200,105,856200,0,0,0,0,0,0,0,0,0,"29","247","399","2",0,"0","0","0","2","0","0","1","0","0"
2000,2268,8200,101,743429,0,0,0,0,0,0,0,0,0,"28","114","189","1",16,"0","0","0","2","0","0","1","0","0"
3000,2782,8400,63,1649272,0,0,0,0,0,0,0,0,0,"17","30","39","3",0,"0","0","0","0","0","0","0","0","0"
2000,2268,8200,50,743429,0,0,0,0,0,0,0,0,0,"28","114","189","1",14,"0","0","0","2","0","0","1","0","0"
500,2723,7800,106,343410,0,0,0,0,0,0,0,0,0,"8","238","389","2",0,"0","0","0","0","0","0","1","0","0"
3000,3172,8900,37,0,12,5,5,12,12,5,4,5,5,"38","70","1168","4",0,"0","0","0","0","0","0","0","0","0"
500,2884,6600,9,0,1,0,0,1,1,1,0,1,1,"27","46","677","2",0,"0","0","0","0","0","0","0","0","0"
500,3367,5500,52,0,40,11,5,40,40,19,9,19,19,"42","138","1152","4",0,"0","0","0","0","0","0","0","0","0"
500,1904,7900,53,58806,0,0,0,0,0,0,0,0,0,"45","101","158","3",0,"0","0","0","2","0","0","0","0","0"
500,2142,6500,79,529465,0,0,0,0,0,0,0,0,0,"19","39","252","1",8,"0","0","0","0","0","0","0","0","0"
500,1890,6700,66,503559,0,0,0,0,0,0,0,0,0,"16","29","37","1",0,"0","0","0","0","0","0","0","0","0"
500,2085,6900,29,396498,0,0,0,0,0,0,0,0,0,"53","160","251","2",0,"0","0","0","0","0","0","0","0","0"
5000,3192,8600,92,1172663,36,13,17,36,36,7,5,7,7,"17","32","48","3",0,"0","0","0","2","0","0","0","0","0"
2000,2023,8100,44,438659,0,0,0,0,0,0,0,0,0,"17","30","51","3",0,"0","0","0","0","0","0","0","0","0"
3000,3206,7300,100,872255,76,33,26,76,76,37,24,37,37,"16","35","260","1",0,"0","0","0","2","0","0","0","0","0"
500,3367,8500,84,169907,60,20,24,60,60,45,16,45,45,"16","424","754","1",0,"0","0","0","0","0","0","1","0","0"
500,3241,5300,10,176797,3,0,0,3,3,3,0,3,3,"53","403","1234","4",0,"0","0","0","0","0","0","0","0","0"
500,2471,6300,73,35887,0,0,0,0,0,0,0,0,0,"29","236","387","2",0,"0","0","0","0","0","0","0","0","0"
500,2100,6100,70,215765,0,0,0,0,0,0,0,0,0,"5","183","18","4",0,"0","0","0","0","0","0","0","0","0"
500,2268,8100,96,0,0,0,0,0,0,0,0,0,0,"42","90","140","3",0,"0","0","0","0","0","0","0","0","0"
500,3171,7600,63,4538,7,2,2,7,7,2,1,2,2,"28","385","655","2",0,"0","0","0","0","0","0","0","0","0"
500,3101,4700,55,13632,1,0,0,1,1,1,0,1,1,"27","477","85","1",0,"0","0","0","0","0","0","0","0","0"
500,3220,4000,7,98168,0,0,0,0,0,0,0,0,0,"28","140","222","1",0,"0","0","0","0","0","0","0","0","0"
500,2093,7300,6,119498,0,0,0,0,0,0,0,0,0,"4","127","202","2",0,"0","0","0","0","0","0","0","0","0"
500,2345,7600,51,384726,0,0,0,0,0,0,0,0,0,"29","38","380","4",0,"0","0","0","0","0","0","0","0","0"
500,2765,6200,89,1564,0,0,0,0,0,0,0,0,0,"85","300","644","2",0,"0","2","0","0","0","0","0","0","0"
500,3374,6000,42,55669,35,16,10,35,35,18,10,18,18,"5","12","1362","3",0,"0","0","0","0","0","0","0","0","0"
2000,2849,9000,82,802286,0,0,0,0,0,0,0,0,0,"17","32","48","3",0,"0","0","0","2","0","0","1","0","0"
500,2772,4300,48,108948,0,0,0,0,0,0,0,0,0,"16","251","672","2",0,"0","0","0","0","0","0","0","0","0"
3000,1421,8300,110,870647,0,0,0,0,0,0,0,0,0,"6","32","40","2",0,"0","0","0","2","0","0","0","0","0"
500,2302,5600,60,331563,0,0,0,0,0,0,0,0,0,"31","64","360","3",0,"0","0","0","0","0","0","0","0","0"
500,3234,6400,24,0,27,3,3,27,27,6,0,6,6,"42","180","285","2",0,"0","0","0","0","0","0","0","0","0"
2000,1680,8400,144,1173440,0,0,0,0,0,0,0,0,0,"13","23","30","1",0,"0","0","0","2","0","0","0","0","0"
500,2807,6400,4,0,0,0,0,0,0,0,0,0,0,"137","420","739","4",0,"0","0","0","0","0","0","0","0","0"
500,1883,7800,43,697011,0,0,0,0,0,0,0,0,0,"3","5","5","3",0,"0","0","0","0","0","0","0","0","0"
2000,2065,7700,90,75621,0,0,0,0,0,0,0,0,0,"7","135","217","2",0,"2","0","0","0","0","0","0","0","0"
5000,1778,8600,121,1399606,0,0,0,0,0,0,0,0,0,"42","79","129","7",0,"0","0","0","2","0","0","0","0","0"
2000,2618,8900,44,907439,0,0,0,0,0,0,0,0,0,"42","77","127","3",0,"0","0","0","0","0","0","0","0","0"
2000,2926,8600,95,395580,0,0,0,0,0,0,0,0,0,"45","290","478","7",0,"0","0","0","0","0","0","0","0","0"
500,1715,7900,72,58648,0,0,0,0,0,0,0,0,0,"3","5","7","4",0,"0","0","0","0","0","0","0","0","0"
2000,1421,7500,87,1575180,0,0,0,0,0,0,0,0,0,"5","10","19","2",0,"0","0","0","0","0","0","0","0","0"
2000,2100,7300,49,788296,0,0,0,0,0,0,0,0,0,"17","32","49","3",0,"0","0","0","2","0","0","0","0","0"
500,2702,6400,26,150368,0,0,0,0,0,0,0,0,0,"53","176","660","4",0,"0","0","0","0","0","0","0","0","0"
500,2856,0,1,174848,0,0,0,0,0,0,0,0,0,"53","176","323","3",0,"0","0","0","0","0","0","0","0","0"
500,3346,6800,35,73049,4,1,1,4,4,4,1,4,4,"16","304","1388","4",0,"0","0","0","0","0","0","0","0","0"
500,3241,6200,7,0,3,0,1,3,3,0,0,0,0,"27","482","69","4",0,"0","0","0","0","0","0","0","0","0"
500,2597,7800,77,466603,0,0,0,0,0,0,0,0,0,"60","98","193","1",0,"0","0","0","0","0","0","0","0","0"
500,2001,8000,67,275695,0,0,0,0,0,0,0,0,0,"2","141","224","1",0,"0","0","0","0","0","0","0","0","0"
2000,2064,8300,90,372875,0,0,0,0,0,0,0,0,0,"42","82","311","2",0,"0","0","0","2","0","0","0","0","0"
500,2807,8600,96,248407,0,0,0,0,0,0,0,0,0,"56","142","225","2",0,"0","0","0","0","0","0","0","0","0"
2000,1458,8500,134,420774,0,0,0,0,0,0,0,0,0,"52","106","172","1",0,"0","2","0","2","0","0","0","0","0"
500,2856,5000,71,50584,0,0,0,0,0,0,0,0,0,"120","373","631","1",4,"0","0","0","0","0","0","0","0","0"
500,2226,7500,46,8412,0,0,0,0,0,0,0,0,0,"9","213","348","2",0,"0","0","0","0","0","0","0","0","0"
500,3229,5200,41,769,35,0,24,35,35,7,0,7,7,"27","50","1125","3",0,"0","0","0","0","0","0","0","0","0"
500,3360,7800,76,14,11,5,3,11,11,7,2,7,7,"45","559","637","1",0,"0","0","0","0","0","0","0","0","0"
500,3227,4400,5,334360,1,0,0,1,1,0,0,0,0,"53","129","1131","4",0,"0","0","0","0","0","0","0","0","0"
500,3255,4400,12,25831,2,0,0,2,2,2,0,2,2,"14","484","377","4",0,"0","0","0","0","0","0","0","0","0"
500,2891,2900,37,233505,0,0,0,0,0,0,0,0,0,"1","252","447","1",0,"0","0","0","0","0","0","0","0","0"
2000,2079,7200,60,47363,0,0,0,0,0,0,0,0,0,"3","5","7","4",0,"0","0","0","0","0","0","0","0","0"
2000,2499,7700,88,557614,0,0,0,0,0,0,0,0,0,"28","132","446","2",0,"0","0","0","0","0","0","0","0","0"
500,2607,7100,56,111812,0,0,0,0,0,0,0,0,0,"53","333","559","1",0,"0","0","0","0","0","0","0","0","0"
500,3186,8300,64,14306,8,4,3,8,8,2,2,2,2,"56","142","1010","3",12,"0","0","0","0","0","0","0","0","0"
500,2121,5500,10,384334,0,0,0,0,0,0,0,0,0,"53","176","277","3",0,"0","0","0","0","0","0","0","0","0"
2000,3229,4200,37,0,58,1,42,58,58,6,0,6,6,"28","627","1179","2",0,"0","0","0","2","0","0","0","0","0"
3000,3171,8800,68,16504,23,9,14,23,23,6,3,6,6,"17","32","52","4",0,"0","0","0","0","0","0","0","0","0"
500,2065,7500,57,777132,0,0,0,0,0,0,0,0,0,"53","187","295","2",8,"0","0","0","0","0","0","0","0","0"
500,3094,7700,88,0,23,7,5,23,23,13,5,13,13,"5","232","305","2",0,"0","0","0","0","0","0","0","0","0"
500,2361,7900,37,0,0,0,0,0,0,0,0,0,0,"17","32","198","3",0,"0","0","0","0","0","0","0","0","0"
2000,2450,8300,53,503093,0,0,0,0,0,0,0,0,0,"12","168","398","3",0,"0","0","0","0","0","0","0","0","0"
2000,2401,8400,95,336930,0,0,0,0,0,0,0,0,0,"6","67","432","2",0,"0","0","0","2","0","0","1","0","0"
2000,1764,7600,84,820707,0,0,0,0,0,0,0,0,0,"6","31","40","4",0,"0","0","0","2","0","0","0","0","0"
500,3178,4300,18,0,5,1,2,5,5,2,0,2,2,"28","327","1146","3",0,"0","0","0","0","0","0","0","0","0"
500,3101,7800,84,1879,9,4,3,9,9,6,3,6,6,"5","11","587","1",0,"0","0","0","0","0","0","1","0","0"
8000,1784,8800,110,527439,0,0,0,0,0,0,0,0,0,"28","114","189","1",16,"0","0","0","2","0","0","1","0","0"
2000,3220,5700,8,227165,9,1,6,9,9,2,0,2,2,"5","9","382","2",0,"0","0","0","0","0","0","0","0","0"
500,2737,6300,53,241413,0,0,0,0,0,0,0,0,0,"16","243","244","4",0,"0","0","0","0","0","0","0","0","0"
3000,3157,7500,98,850888,0,0,0,0,0,0,0,0,0,"2","339","571","17",0,"0","0","0","2","0","0","1","0","0"
2000,2485,8400,113,538046,0,0,0,0,0,0,0,0,0,"28","114","183","1",16,"0","0","0","2","0","0","1","0","0"
500,1842,6800,46,75598,0,0,0,0,0,0,0,0,0,"17","32","201","3",0,"0","0","0","0","0","0","0","0","0"
500,3241,3800,39,450556,11,1,2,11,11,11,1,11,11,"16","243","244","2",0,"0","0","0","0","0","0","0","0","0"
2000,1421,7400,109,250974,0,0,0,0,0,0,0,0,0,"5","13","16","1",8,"0","0","0","0","0","0","1","0","0"
500,1883,7500,82,0,0,0,0,0,0,0,0,0,0,"42","76","126","3",0,"0","0","0","2","0","0","0","0","0"
2000,2961,7200,127,941734,25,7,11,25,25,10,4,10,10,"16","33","643","1",0,"0","0","0","0","0","0","0","0","0"
5000,3052,7900,75,208574,27,6,14,27,27,12,6,12,12,"16","31","286","2",0,"0","0","0","0","0","0","0","0","0"
500,2975,7700,70,155555,2,0,2,2,2,0,0,0,0,"45","403","701","11",0,"0","0","0","0","0","0","0","0","0"
2000,2863,7200,80,242444,6,0,2,6,6,2,0,2,2,"60","38","664","4",0,"0","0","0","0","0","0","0","0","0"
