"Outcome_M9","Quan_2","Quan_3","Quan_4","Quan_5","Quan_7","Quan_8","Quan_9","Quan_10","Quan_13","Quan_14","Cat_4","Quan_18","Cat_349","Cat_359","Cat_388","Quant_24","Quant_25","Cat_469","Cat_470","Cat_494","Quan_27"
500,8300,76,538046,0,0,0,0,0,0,0,"183",16,"0","0","0",9,0,"2","0","0",0
3000,7600,50,557614,0,0,0,0,0,0,0,"446",0,"0","0","2",0,0,"0","0","0",0
2000,8000,66,1119115,0,0,0,0,0,0,0,"11",0,"0","0","0",0,0,"2","0","0",0
500,7600,81,58666,0,0,0,0,0,0,0,"543",8,"0","0","0",0,4,"0","0","0",0
2000,6900,98,428382,58,13,58,58,38,38,38,"687",0,"0","0","0",0,0,"0","0","1",0
500,6000,81,62984,9,3,9,9,7,7,7,"589",0,"0","0","0",0,0,"0","0","0",0
500,6900,112,414785,0,0,0,0,0,0,0,"501",0,"0","0","0",0,0,"0","0","0",0
500,4700,10,42767,0,0,0,0,0,0,0,"248",0,"0","0","0",30,30,"0","0","0",0
500,4800,10,0,0,0,0,0,0,0,0,"33",0,"0","0","2",6,6,"0","0","0",0
500,5100,78,508995,0,0,0,0,0,0,0,"41",0,"0","0","0",2,0,"0","0","0",0
2000,4300,53,1698,4,0,4,4,3,3,3,"909",0,"0","0","0",0,3,"0","0","0",0
500,6500,54,37635,0,0,0,0,0,0,0,"155",0,"0","0","0",8,8,"0","0","0",0
2000,6900,45,216645,0,0,0,0,0,0,0,"266",0,"0","0","0",0,0,"0","0","0",0
500,7000,58,670326,0,0,0,0,0,0,0,"264",0,"0","0","0",8,8,"0","0","0",0
500,6100,42,77366,0,0,0,0,0,0,0,"226",0,"0","0","0",33,33,"0","0","0",0
2000,8800,99,332670,0,0,0,0,0,0,0,"384",0,"0","0","0",0,0,"2","0","0",0
500,7100,35,149470,0,0,0,0,0,0,0,"366",0,"0","0","0",0,0,"0","0","0",0
500,6400,96,746269,0,0,0,0,0,0,0,"18",0,"0","0","0",0,0,"2","0","0",0
500,4600,3,38595,0,0,0,0,0,0,0,"395",0,"0","0","0",6,6,"0","0","0",0
500,7300,85,0,0,0,0,0,0,0,0,"586",0,"0","0","0",0,0,"0","0","0",0
2000,6400,29,0,0,0,0,0,0,0,0,"182",0,"0","0","0",12,12,"0","0","0",0
500,6800,21,0,0,0,0,0,0,0,0,"329",0,"0","0","0",0,0,"0","0","0",0
500,5700,13,13798,0,0,0,0,0,0,0,"222",0,"0","0","0",0,0,"0","0","0",0
500,7600,55,0,14,8,14,14,7,7,7,"1354",0,"0","0","0",0,0,"0","0","0",0
500,7100,58,327817,0,0,0,0,0,0,0,"546",0,"0","0","0",0,0,"2","0","0",0
2000,8000,79,143718,0,0,0,0,0,0,0,"572",0,"0","0","0",0,0,"0","0","0",0
2000,7900,61,652377,0,0,0,0,0,0,0,"51",0,"0","0","0",119,119,"0","0","0",0
500,7200,61,606019,0,0,0,0,0,0,0,"431",0,"0","0","0",3,3,"2","0","0",0
500,6900,39,73049,4,1,4,4,3,3,3,"1388",0,"0","0","0",0,0,"0","0","0",0
500,0,1,224077,80,67,80,80,4,4,4,"1166",0,"0","0","0",0,0,"0","0","1",0
2000,7200,105,856200,0,0,0,0,0,0,0,"399",0,"0","0","0",0,0,"2","0","1",0
6000,8200,101,743429,0,0,0,0,0,0,0,"189",16,"0","0","2",0,0,"2","0","1",0
2000,8400,63,1649272,0,0,0,0,0,0,0,"39",0,"0","0","2",32,32,"0","0","0",0
3000,8200,50,743429,0,0,0,0,0,0,0,"189",14,"0","0","2",0,0,"2","0","1",0
2000,7800,106,343410,0,0,0,0,0,0,0,"389",0,"0","0","0",0,4,"0","0","1",0
2000,8900,37,0,12,5,12,12,5,5,5,"1168",0,"0","0","0",0,0,"0","0","0",0
500,6600,9,0,1,0,1,1,1,1,1,"677",0,"0","0","0",0,0,"0","0","0",0
500,5500,52,0,40,5,40,40,19,19,19,"1152",0,"0","0","0",6,6,"0","0","0",0
2000,7900,53,58806,0,0,0,0,0,0,0,"158",0,"0","0","0",22,22,"2","0","0",0
