	x	%	
Outcome_M2	3	0,40%	
Outcome_M3	5	0,67%	
Outcome_M4	5	0,67%	
Outcome_M5	24	3,20%	
Outcome_M6	46	6,13%	
Outcome_M7	57	7,59%	
Outcome_M8	63	8,39%	
Outcome_M9	73	9,72%	
Outcome_M10	92	12,25%	
Outcome_M11	103	13,72%	
Outcome_M12	109	14,51%	
Quan_2	12	1,60%	
Quan_3	5	0,67%	
Quan_4	79	10,52%	
Quan_5	474	63,12%	
Quan_6	474	63,12%	
Quan_7	474	63,12%	
Quan_8	474	63,12%	
Quan_9	474	63,12%	
Quan_10	474	63,12%	
Quan_11	474	63,12%	
Quan_12	474	63,12%	
Quan_13	474	63,12%	
Quan_14	474	63,12%	
Quan_15	11	1,46%	
Quan_16	306	40,75%	
Quan_17	326	43,41%	
Quan_18	678	90,28%	
Quan_19	561	74,70%	
Quan_20	704	93,74%	
Quan_21	637	84,82%	
Quan_22	732	97,47%	
Quant_22	676	90,01%	
Quant_23	664	88,42%	
Quant_24	407	54,19%	
Quant_25	437	58,19%	
